The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,
Title,Milankovitch radiation for different latitudes and time periods,,,,,
Source:,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,,,,
Average of 60 and 70 N,,,,,,
BP,Months  7to 7,Annual 65N,Annual global,BP,BP,Global cos-weighted
-799900,432.24,210.87,291.18,-800,-800000,340.953
-799800,431.8,210.82,291.2,-799,-799000,340.955
-799700,431.37,210.77,291.22,-798,-798000,340.957
-799600,430.93,210.71,291.24,-797,-797000,340.958
-799500,430.49,210.66,291.25,-796,-796000,340.96
-799400,430.06,210.61,291.27,-795,-795000,340.962
-799300,429.62,210.56,291.29,-794,-794000,340.963
-799200,429.19,210.51,291.31,-793,-793000,340.965
-799100,428.75,210.45,291.33,-792,-792000,340.967
-799000,428.31,210.4,291.35,-791,-791000,340.969
-798900,427.88,210.35,291.37,-790,-790000,340.97
-798800,427.59,210.36,291.39,-789,-789000,340.972
-798700,427.3,210.37,291.41,-788,-788000,340.975
-798600,427.01,210.38,291.43,-787,-787000,340.977
-798500,426.72,210.39,291.45,-786,-786000,340.979
-798400,426.43,210.4,291.47,-785,-785000,340.981
-798300,426.14,210.41,291.49,-784,-784000,340.983
-798200,425.85,210.42,291.51,-783,-783000,340.986
-798100,425.55,210.43,291.53,-782,-782000,340.988
-798000,425.26,210.44,291.55,-781,-781000,340.99
-797900,424.97,210.45,291.57,-780,-780000,340.992
-797800,424.88,210.52,291.59,-779,-779000,340.992
-797700,424.78,210.59,291.61,-778,-778000,340.993
-797600,424.68,210.66,291.62,-777,-777000,340.993
-797500,424.59,210.73,291.64,-776,-776000,340.993
-797400,424.49,210.8,291.66,-775,-775000,340.993
-797300,424.39,210.87,291.68,-774,-774000,340.994
-797200,424.3,210.94,291.7,-773,-773000,340.994
-797100,424.2,211.01,291.71,-772,-772000,340.994
-797000,424.1,211.08,291.73,-771,-771000,340.994
-796900,424,211.15,291.75,-770,-770000,340.995
-796800,424.13,211.28,291.77,-769,-769000,340.992
-796700,424.25,211.41,291.78,-768,-768000,340.99
-796600,424.37,211.54,291.79,-767,-767000,340.988
-796500,424.49,211.66,291.81,-766,-766000,340.985
-796400,424.61,211.79,291.82,-765,-765000,340.983
-796300,424.73,211.92,291.84,-764,-764000,340.981
-796200,424.85,212.04,291.85,-763,-763000,340.978
-796100,424.97,212.17,291.87,-762,-762000,340.976
-796000,425.09,212.3,291.88,-761,-761000,340.974
-795900,425.22,212.43,291.9,-760,-760000,340.971
-795800,425.58,212.61,291.91,-759,-759000,340.973
-795700,425.94,212.8,291.93,-758,-758000,340.975
-795600,426.31,212.98,291.95,-757,-757000,340.977
-795500,426.67,213.17,291.96,-756,-756000,340.979
-795400,427.03,213.35,291.98,-755,-755000,340.981
-795300,427.39,213.54,292,-754,-754000,340.983
-795200,427.76,213.73,292.01,-753,-753000,340.985
-795100,428.12,213.91,292.03,-752,-752000,340.987
-795000,428.48,214.1,292.05,-751,-751000,340.989
-794900,428.85,214.28,292.06,-750,-750000,340.991
-794800,429.36,214.49,292.08,-749,-749000,340.992
-794700,429.86,214.7,292.09,-748,-748000,340.993
-794600,430.37,214.91,292.11,-747,-747000,340.995
-794500,430.88,215.11,292.12,-746,-746000,340.996
-794400,431.39,215.32,292.14,-745,-745000,340.997
-794300,431.9,215.53,292.15,-744,-744000,340.998
-794200,432.41,215.74,292.16,-743,-743000,340.999
-794100,432.92,215.95,292.18,-742,-742000,341.001
-794000,433.42,216.15,292.19,-741,-741000,341.002
-793900,433.93,216.36,292.21,-740,-740000,341.003
-793800,434.64,216.59,292.22,-739,-739000,341.004
-793700,435.34,216.81,292.23,-738,-738000,341.004
-793600,436.04,217.03,292.24,-737,-737000,341.005
-793500,436.74,217.26,292.25,-736,-736000,341.006
-793400,437.44,217.48,292.27,-735,-735000,341.006
-793300,438.15,217.7,292.28,-734,-734000,341.007
-793200,438.85,217.93,292.29,-733,-733000,341.007
-793100,439.55,218.15,292.3,-732,-732000,341.008
-793000,440.25,218.38,292.31,-731,-731000,341.009
-792900,440.96,218.6,292.32,-730,-730000,341.009
-792800,441.73,218.83,292.33,-729,-729000,341.01
-792700,442.5,219.05,292.35,-728,-728000,341.01
-792600,443.28,219.28,292.36,-727,-727000,341.011
-792500,444.05,219.5,292.37,-726,-726000,341.011
-792400,444.83,219.73,292.38,-725,-725000,341.012
-792300,445.6,219.96,292.39,-724,-724000,341.012
-792200,446.38,220.18,292.4,-723,-723000,341.013
-792100,447.15,220.41,292.41,-722,-722000,341.013
-792000,447.93,220.64,292.42,-721,-721000,341.014
-791900,448.7,220.86,292.43,-720,-720000,341.014
-791800,449.5,221.05,292.44,-719,-719000,341.015
-791700,450.3,221.24,292.45,-718,-718000,341.016
-791600,451.1,221.44,292.46,-717,-717000,341.018
-791500,451.9,221.63,292.47,-716,-716000,341.019
-791400,452.7,221.82,292.48,-715,-715000,341.02
-791300,453.5,222.01,292.49,-714,-714000,341.021
-791200,454.3,222.2,292.49,-713,-713000,341.022
-791100,455.1,222.39,292.5,-712,-712000,341.023
-791000,455.9,222.59,292.51,-711,-711000,341.024
-790900,456.69,222.78,292.52,-710,-710000,341.026
-790800,457.42,222.92,292.52,-709,-709000,341.022
-790700,458.15,223.06,292.53,-708,-708000,341.019
-790600,458.87,223.2,292.53,-707,-707000,341.016
-790500,459.6,223.34,292.53,-706,-706000,341.013
-790400,460.33,223.48,292.53,-705,-705000,341.01
-790300,461.05,223.63,292.53,-704,-704000,341.006
-790200,461.78,223.77,292.53,-703,-703000,341.003
-790100,462.51,223.91,292.54,-702,-702000,341
-790000,463.23,224.05,292.54,-701,-701000,340.997
-789900,463.96,224.19,292.54,-700,-700000,340.993
-789800,464.59,224.28,292.55,-699,-699000,340.997
-789700,465.22,224.36,292.55,-698,-698000,341.001
-789600,465.85,224.44,292.56,-697,-697000,341.005
-789500,466.48,224.53,292.56,-696,-696000,341.009
