The copyright to the intellectual property of this file is held by www.climatedata.info,,
Title,"Temperature, CO2 and Milankovitch cycles - Vostok",
Source,: http://www.ncdc.noaa.gov/paleo/indexice.html,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,
Year,Temp,SI
-250000,,427.883
-249900,,428.157
-249800,,428.441
-249700,,428.725
-249600,,429.009
-249500,,429.293
-249400,,429.577
-249300,,429.861
-249200,,430.145
-249100,,430.429
-249000,,430.713
-248900,,431.145
-248800,,431.586
-248700,,432.027
-248600,,432.468
-248500,,432.909
-248400,,433.35
-248300,,433.791
-248200,,434.232
-248100,,434.673
-248000,,435.114
-247900,,435.677
-247800,,436.248
-247700,,436.819
-247600,,437.39
-247500,,437.961
-247400,,438.532
-247300,,439.103
-247200,,439.674
-247100,,440.245
-247000,,440.817
-246900,,441.474
-246800,,442.137
-246700,,442.8
-246600,,443.463
-246500,,444.126
-246400,,444.789
-246300,,445.452
-246200,,446.115
-246100,,446.778
-246000,,447.442
-245900,,448.138
-245800,,448.836
-245700,,449.534
-245600,,450.232
-245500,,450.93
-245400,,451.628
-245300,,452.326
-245200,,453.024
-245100,,453.722
-245000,,454.42
-244900,,455.091
-244800,,455.76
-244700,,456.429
-244600,,457.098
-244500,,457.767
-244400,,458.436
-244300,,459.105
-244200,,459.774
-244100,,460.443
-244000,,461.112
-243900,,461.687
-243800,,462.256
-243700,,462.825
-243600,,463.394
-243500,,463.963
-243400,,464.532
-243300,,465.101
-243200,,465.67
-243100,,466.239
-243000,,466.808
-242900,0.035,467.218
-242800,-0.05,467.618
-242700,-0.15,468.018
-242600,-0.215,468.418
-242500,-0.3,468.818
-242400,-0.423,469.218
-242300,-0.5,469.618
-242200,-0.75,470.018
-242100,-0.852,470.418
-242000,-1.01,470.818
-241900,-1.153,470.999
-241800,-1.26,471.167
-241700,-1.47,471.335
-241600,-1.53,471.503
-241500,-1.66,471.671
-241400,-1.76,471.839
-241300,-1.87,472.007
-241200,-1.971,472.175
-241100,-2.03,472.343
-241000,-2.16,472.511
-240900,-2.197,472.421
-240800,-2.26,472.316
-240700,-2.313,472.211
-240600,-2.36,472.106
-240500,-2.43,472.001
-240400,-2.46,471.896
-240300,-2.59,471.791
-240200,-2.64,471.686
-240100,-2.7,471.581
-240000,-2.723,471.476
-239900,-2.74,471.094
-239800,-2.784,470.696
-239700,-2.81,470.298
-239600,-2.852,469.9
-239500,-2.87,469.502
-239400,-2.95,469.104
-239300,-2.965,468.706
-239200,-3,468.308
-239100,-3.004,467.91
-239000,-3.01,467.511
-238900,-3.001,466.844
-238800,-2.99,466.161
-238700,-2.985,465.478
-238600,-2.98,464.795
-238500,-2.992,464.112
-238400,-3,463.429
-238300,-3.019,462.746
-238200,-3.03,462.063
-238100,-3.07,461.379
-238000,-3.09,460.696
-237900,-3.123,459.782
-237800,-3.14,458.855
-237700,-3.186,457.928
-237600,-3.21,457.001
-237500,-3.263,456.074
-237400,-3.29,455.147
-237300,-3.355,454.22
-237200,-3.39,453.293
-237100,-3.461,452.366
-237000,-3.5,451.439
-236900,-3.589,450.344
-236800,-3.64,449.24
-236700,-3.721,448.136
-236600,-3.77,447.032
-236500,-3.843,445.928
-236400,-3.89,444.824
-236300,-3.956,443.72
-236200,-4,442.616
-236100,-4.05,441.512
-236000,-4.09,440.407
-235900,-4.135,439.215
-235800,-4.18,438.018
-235700,-4.229,436.821
-235600,-4.29,435.624
-235500,-4.317,434.427
-235400,-4.36,433.23
-235300,-4.389,432.033
-235200,-4.45,430.836
-235100,-4.482,429.639
-235000,-4.537,428.442
-234900,-4.57,427.252
-234800,-4.662,426.063
-234700,-4.71,424.874
-234600,-4.792,423.685
-234500,-4.85,422.496
-234400,-4.911,421.307
-234300,-4.97,420.118
-234200,-5.014,418.929
-234100,-5.07,417.74
-234000,-5.116,416.55
-233900,-5.17,415.463
-233800,-5.232,414.381
-233700,-5.27,413.299
-233600,-5.34,412.217
-233500,-5.369,411.135
-233400,-5.42,410.053
-233300,-5.478,408.971
-233200,-5.53,407.889
-233100,-5.66,406.806
-233000,-5.706,405.724
-232900,-5.79,404.831
-232800,-5.862,403.948
-232700,-5.91,403.065
-232600,-5.99,402.182
-232500,-6.013,401.299
-232400,-6.04,400.416
-232300,-6.04,399.533
-232200,-6.03,398.65
-232100,-6.01,397.767
-232000,-5.998,396.884
-231900,-5.99,396.262
-231800,-5.99,395.654
-231700,-5.985,395.046
-231600,-5.98,394.438
-231500,-5.98,393.83
-231400,-5.987,393.222
-231300,-6,392.614
-231200,-6.028,392.006
-231100,-6.05,391.398
-231000,-6.06,390.79
-230900,-6.056,390.496
-230800,-6.05,390.218
-230700,-6.09,389.94
-230600,-6.1,389.662
-230500,-6.12,389.384
-230400,-6.12,389.106
-230300,-6.12,388.828
-230200,-6.07,388.55
-230100,-6.04,388.272
-230000,-6.01,387.994
-229900,-5.91,388.058
-229800,-5.838,388.14
-229700,-5.74,388.222
-229600,-5.54,388.304
-229500,-5.485,388.386
-229400,-5.38,388.468
-229300,-5.323,388.55
-229200,-5.29,388.632
-229100,-5.25,388.714
-229000,-5.256,388.796
-228900,-5.26,389.227
-228800,-5.34,389.675
-228700,-5.415,390.123
-228600,-5.49,390.571
-228500,-5.65,391.019
-228400,-5.715,391.467
-228300,-5.8,391.915
-228200,-5.98,392.363
-228100,-6.034,392.811
-228000,-6.13,393.259
-227900,-6.188,394.033
-227800,-6.22,394.823
-227700,-6.3,395.613
-227600,-6.348,396.403
-227500,-6.38,397.193
-227400,-6.46,397.983
-227300,-6.429,398.773
-227200,-6.41,399.563
-227100,-6.31,400.353
-227000,-6.278,401.143
-226900,-6.26,402.214
-226800,-6.2,403.298
-226700,-6.08,404.382
-226600,-6.032,405.466
-226500,-5.96,406.55
-226400,-5.9,407.634
-226300,-5.857,408.718
-226200,-5.81,409.802
-226100,-5.67,410.886
-226000,-5.571,411.97
-225900,-5.51,413.268
-225800,-5.37,414.576
-225700,-5.22,415.884
-225600,-5.13,417.192
-225500,-5.04,418.5
-225400,-4.85,419.808
-225300,-4.72,421.117
-225200,-4.67,422.425
-225100,-4.61,423.733
-225000,-4.5,425.041
-224900,-4.4,426.475
-224800,-4.374,427.915
-224700,-4.34,429.355
-224600,-4.24,430.795
-224500,-4.11,432.235
-224400,-4.034,433.675
-224300,-3.96,435.115
-224200,-3.83,436.556
-224100,-3.71,437.996
-224000,-3.655,439.436
-223900,-3.57,440.901
-223800,-3.42,442.367
-223700,-3.374,443.833
-223600,-3.31,445.299
-223500,-3.21,446.765
-223400,-3.156,448.231
-223300,-3.06,449.697
-223200,-3.021,451.163
-223100,-2.97,452.629
-223000,-2.949,454.095
-222900,-2.93,455.483
-222800,-2.9,456.867
-222700,-2.88,458.251
-222600,-2.826,459.635
-222500,-2.8,461.019
-222400,-2.765,462.404
-222300,-2.75,463.788
-222200,-2.702,465.172
-222100,-2.68,466.556
-222000,-2.607,467.94
-221900,-2.57,469.144
-221800,-2.472,470.34
-221700,-2.42,471.536
-221600,-2.337,472.732
-221500,-2.29,473.928
-221400,-2.234,475.124
-221300,-2.2,476.321
-221200,-2.121,477.517
-221100,-2.07,478.713
-221000,-1.987,479.909
-220900,-1.93,480.838
-220800,-1.872,481.755
-220700,-1.83,482.672
-220600,-1.791,483.589
-220500,-1.76,484.506
-220400,-1.732,485.423
-220300,-1.71,486.34
-220200,-1.699,487.257
-220100,-1.69,488.174
-220000,-1.702,489.091
-219900,-1.71,489.676
-219800,-1.733,490.246
-219700,-1.75,490.816
-219600,-1.798,491.386
-219500,-1.83,491.956
-219400,-1.914,492.526
-219300,-1.96,493.096
-219200,-2.069,493.666
-219100,-2.11,494.236
-219000,-2.25,494.806
-218900,-2.281,495.011
-218800,-2.34,495.2
-218700,-2.344,495.389
-218600,-2.35,495.578
-218500,-2.345,495.767
-218400,-2.34,495.956
-218300,-2.312,496.145
-218200,-2.283,496.334
-218100,-2.24,496.523
-218000,-2.199,496.712
-217900,-2.15,496.53
-217800,-2.088,496.332
-217700,-2.05,496.134
-217600,-1.94,495.936
-217500,-1.899,495.738
-217400,-1.84,495.54
-217300,-1.804,495.342
-217200,-1.78,495.144
-217100,-1.75,494.946
-217000,-1.762,494.748
-216900,-1.78,494.208
-216800,-1.804,493.654
-216700,-1.82,493.1
-216600,-1.85,492.546
-216500,-1.866,491.992
-216400,-1.89,491.438
-216300,-1.902,490.884
-216200,-1.91,490.33
-216100,-1.92,489.776
-216000,-1.92,489.222
-215900,-1.92,488.382
-215800,-1.926,487.53
-215700,-1.93,486.678
-215600,-1.93,485.826
-215500,-1.921,484.974
-215400,-1.91,484.122
-215300,-1.91,483.27
-215200,-1.91,482.418
-215100,-1.94,481.566
-215000,-1.949,480.713
-214900,-1.96,479.652
-214800,-1.973,478.582
-214700,-1.98,477.512
-214600,-1.96,476.442
-214500,-1.96,475.372
-214400,-1.96,474.302
-214300,-1.966,473.232
