Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Jan-50,1950.042,-1.7,0,-1.7
Feb-50,1950.125,-1.5,0,-1.5
Mar-50,1950.208,-1.3,0,-1.3
Apr-50,1950.292,-1.4,0,-1.4
May-50,1950.375,-1.3,0,-1.3
Jun-50,1950.458,-1.1,0,-1.1
Jul-50,1950.542,-0.8,0,-0.8
Aug-50,1950.625,-0.8,0,-0.8
Sep-50,1950.708,-0.8,0,-0.8
Oct-50,1950.792,-0.9,0,-0.9
Nov-50,1950.875,-0.9,0,-0.9
Dec-50,1950.958,-1,0,-1
Jan-51,1951.042,-1,0,-1
Feb-51,1951.125,-0.9,0,-0.9
Mar-51,1951.208,-0.6,0,-0.6
Apr-51,1951.292,-0.3,0,-0.3
May-51,1951.375,-0.2,0,-0.2
Jun-51,1951.458,0.2,0.2,0
Jul-51,1951.542,0.4,0.4,0
Aug-51,1951.625,0.7,0.7,0
Sep-51,1951.708,0.7,0.7,0
Oct-51,1951.792,0.8,0.8,0
Nov-51,1951.875,0.7,0.7,0
Dec-51,1951.958,0.6,0.6,0
Jan-52,1952.042,0.3,0.3,0
Feb-52,1952.125,0.1,0.1,0
Mar-52,1952.208,0.1,0.1,0
Apr-52,1952.292,0.2,0.2,0
May-52,1952.375,0.1,0.1,0
Jun-52,1952.458,-0.1,0,-0.1
Jul-52,1952.542,-0.3,0,-0.3
Aug-52,1952.625,-0.3,0,-0.3
Sep-52,1952.708,-0.2,0,-0.2
Oct-52,1952.792,-0.2,0,-0.2
Nov-52,1952.875,-0.1,0,-0.1
Dec-52,1952.958,0,0,0
Jan-53,1953.042,0.2,0.2,0
Feb-53,1953.125,0.4,0.4,0
Mar-53,1953.208,0.5,0.5,0
Apr-53,1953.292,0.5,0.5,0
May-53,1953.375,0.5,0.5,0
Jun-53,1953.458,0.5,0.5,0
Jul-53,1953.542,0.4,0.4,0
Aug-53,1953.625,0.4,0.4,0
Sep-53,1953.708,0.4,0.4,0
Oct-53,1953.792,0.4,0.4,0
Nov-53,1953.875,0.4,0.4,0
Dec-53,1953.958,0.4,0.4,0
Jan-54,1954.042,0.5,0.5,0
Feb-54,1954.125,0.3,0.3,0
Mar-54,1954.208,-0.1,0,-0.1
Apr-54,1954.292,-0.5,0,-0.5
May-54,1954.375,-0.7,0,-0.7
Jun-54,1954.458,-0.7,0,-0.7
Jul-54,1954.542,-0.8,0,-0.8
Aug-54,1954.625,-1,0,-1
Sep-54,1954.708,-1.2,0,-1.2
Oct-54,1954.792,-1.1,0,-1.1
Nov-54,1954.875,-1.1,0,-1.1
Dec-54,1954.958,-1.1,0,-1.1
Jan-55,1955.042,-1,0,-1
Feb-55,1955.125,-0.9,0,-0.9
Mar-55,1955.208,-0.9,0,-0.9
Apr-55,1955.292,-1,0,-1
May-55,1955.375,-1,0,-1
