Title,Multivariate ENSO Index (MEI) ,,,,
Reference,"Monitoring ENSO in COADS with a seasonally adjusted principal component index, K Wolter and M S Timlin.",,,,
URL,http://www.cdc.noaa.gov/people/klaus.wolter/MEI/table.html,,,,
Missing,-999.9,,,,
Date,Year,Index,,,
Jan-50,1950.042,-1.043,0,-1.043,0.55
Feb-50,1950.125,-1.145,0,-1.145,3.31
Mar-50,1950.208,-1.275,0,-1.275,0.82
Apr-50,1950.292,-1.037,0,-1.037,1.61
May-50,1950.375,-1.422,0,-1.422,-1.73
Jun-50,1950.458,-1.372,0,-1.372,1.26
Jul-50,1950.542,-1.312,0,-1.312,-0.87
Aug-50,1950.625,-1.059,0,-1.059,-0.28
Sep-50,1950.708,-0.587,0,-0.587,1.51
Oct-50,1950.792,-0.392,0,-0.392,0.78
Nov-50,1950.875,-1.145,0,-1.145,0.78
Dec-50,1950.958,-1.233,0,-1.233,-1.88
Jan-51,1951.042,-1.059,0,-1.059,0.82
Feb-51,1951.125,-1.213,0,-1.213,0.93
Mar-51,1951.208,-1.219,0,-1.219,-2.01
Apr-51,1951.292,-0.464,0,-0.464,-0.45
May-51,1951.375,-0.269,0,-0.269,-2.11
Jun-51,1951.458,0.389,0.389,0,-1.16
Jul-51,1951.542,0.751,0.751,0,1.1
Aug-51,1951.625,0.873,0.873,0,0.85
Sep-51,1951.708,0.847,0.847,0,-0.22
Oct-51,1951.792,0.745,0.745,0,-0.13
Nov-51,1951.875,0.72,0.72,0,-0.97
Dec-51,1951.958,0.47,0.47,0,2.54
Jan-52,1952.042,0.413,0.413,0,0.92
Feb-52,1952.125,0.135,0.135,0,0.15
Mar-52,1952.208,0.105,0.105,0,-1.14
Apr-52,1952.292,0.222,0.222,0,2.79
May-52,1952.375,-0.305,0,-0.305,-0.94
Jun-52,1952.458,-0.662,0,-0.662,0.02
Jul-52,1952.542,-0.195,0,-0.195,-0.79
Aug-52,1952.625,-0.142,0,-0.142,-1.05
Sep-52,1952.708,0.379,0.379,0,-3.02
Oct-52,1952.792,0.328,0.328,0,0.42
Nov-52,1952.875,-0.326,0,-0.326,-1.51
Dec-52,1952.958,-0.095,0,-0.095,-0.31
Jan-53,1953.042,0.046,0.046,0,-0.02
Feb-53,1953.125,0.388,0.388,0,0.54
Mar-53,1953.208,0.239,0.239,0,1.25
Apr-53,1953.292,0.683,0.683,0,-1.6
May-53,1953.375,0.821,0.821,0,-0.75
Jun-53,1953.458,0.238,0.238,0,-2.96
Jul-53,1953.542,0.433,0.433,0,0.13
Aug-53,1953.625,0.255,0.255,0,3.26
Sep-53,1953.708,0.561,0.561,0,0.75
Oct-53,1953.792,0.102,0.102,0,0.77
Nov-53,1953.875,0.063,0.063,0,3.25
Dec-53,1953.958,0.31,0.31,0,0.15
Jan-54,1954.042,-0.026,0,-0.026,0.1
Feb-54,1954.125,-0.039,0,-0.039,0.57
Mar-54,1954.208,0.118,0.118,0,-0.29
Apr-54,1954.292,-0.606,0,-0.606,-0.26
May-54,1954.375,-1.461,0,-1.461,-0.91
Jun-54,1954.458,-1.547,0,-1.547,-0.94
