Title,Pacific Decadal Oscillation Index,,,
Reference,"Zhang, Y., J.M. Wallace, D.S. Battisti, 1997:      ENSO-like interdecadal variability: 1900-93. J. Climate, 10, 1004-1020. ",,,
URL,http://jisao.washington.edu/pdo/PDO.latest,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Jan-00,1900.042,0.04,0.04,0
Feb-00,1900.125,1.32,1.32,0
Mar-00,1900.208,0.49,0.49,0
Apr-00,1900.292,0.35,0.35,0
May-00,1900.375,0.77,0.77,0
Jun-00,1900.458,0.65,0.65,0
Jul-00,1900.542,0.95,0.95,0
Aug-00,1900.625,0.14,0.14,0
Sep-00,1900.708,-0.24,0,-0.24
Oct-00,1900.792,0.23,0.23,0
Nov-00,1900.875,-0.44,0,-0.44
Dec-00,1900.958,1.19,1.19,0
Jan-01,1901.042,0.79,0.79,0
Feb-01,1901.125,-0.12,0,-0.12
Mar-01,1901.208,0.35,0.35,0
Apr-01,1901.292,0.61,0.61,0
May-01,1901.375,-0.42,0,-0.42
Jun-01,1901.458,-0.05,0,-0.05
Jul-01,1901.542,-0.6,0,-0.6
Aug-01,1901.625,-1.2,0,-1.2
Sep-01,1901.708,-0.33,0,-0.33
Oct-01,1901.792,0.16,0.16,0
Nov-01,1901.875,-0.6,0,-0.6
Dec-01,1901.958,-0.14,0,-0.14
Jan-02,1902.042,0.82,0.82,0
Feb-02,1902.125,1.58,1.58,0
Mar-02,1902.208,0.48,0.48,0
Apr-02,1902.292,1.37,1.37,0
May-02,1902.375,1.09,1.09,0
Jun-02,1902.458,0.52,0.52,0
Jul-02,1902.542,1.58,1.58,0
Aug-02,1902.625,1.57,1.57,0
Sep-02,1902.708,0.44,0.44,0
Oct-02,1902.792,0.7,0.7,0
Nov-02,1902.875,0.16,0.16,0
Dec-02,1902.958,-1.1,0,-1.1
Jan-03,1903.042,0.86,0.86,0
Feb-03,1903.125,-0.24,0,-0.24
Mar-03,1903.208,-0.22,0,-0.22
Apr-03,1903.292,-0.5,0,-0.5
May-03,1903.375,0.43,0.43,0
Jun-03,1903.458,0.23,0.23,0
Jul-03,1903.542,0.4,0.4,0
Aug-03,1903.625,1.01,1.01,0
Sep-03,1903.708,-0.24,0,-0.24
Oct-03,1903.792,0.18,0.18,0
Nov-03,1903.875,0.08,0.08,0
Dec-03,1903.958,-0.03,0,-0.03
Jan-04,1904.042,0.63,0.63,0
Feb-04,1904.125,-0.91,0,-0.91
Mar-04,1904.208,-0.71,0,-0.71
Apr-04,1904.292,-0.07,0,-0.07
May-04,1904.375,-0.22,0,-0.22
Jun-04,1904.458,-1.53,0,-1.53
Jul-04,1904.542,-1.58,0,-1.58
Aug-04,1904.625,-0.64,0,-0.64
Sep-04,1904.708,0.06,0.06,0
Oct-04,1904.792,0.43,0.43,0
Nov-04,1904.875,1.45,1.45,0
Dec-04,1904.958,0.06,0.06,0
Jan-05,1905.042,0.73,0.73,0
Feb-05,1905.125,0.91,0.91,0
Mar-05,1905.208,1.31,1.31,0
Apr-05,1905.292,1.59,1.59,0
May-05,1905.375,-0.07,0,-0.07
Jun-05,1905.458,0.69,0.69,0
Jul-05,1905.542,0.85,0.85,0
Aug-05,1905.625,1.26,1.26,0
Sep-05,1905.708,-0.03,0,-0.03
Oct-05,1905.792,-0.15,0,-0.15
Nov-05,1905.875,1.11,1.11,0
Dec-05,1905.958,-0.5,0,-0.5
Jan-06,1906.042,0.92,0.92,0
Feb-06,1906.125,1.18,1.18,0
Mar-06,1906.208,0.83,0.83,0
Apr-06,1906.292,0.74,0.74,0
May-06,1906.375,0.44,0.44,0
