The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,,,,
Title,Annual values of temperature at given atmospheric pressure,,,,,,,,
Source,: http://hadobs.metoffice.com/hadat/hadat2.html,,,,,,,,
Reference,Thanks to Peter Thorne and Holly Titchner who maintain the site.,,,,,,,,
Year,850hPa,700hPa,500hPa,300hPa,200hPa,150hPa,100hPa,50hPa,30hPa
1958,-0.041666667,0.075,0.133333333,0.016666667,-0.175,0.091666667,0.708333333,0.975,1.141666667
1959,-0.058333333,0.008333333,0.108333333,0.075,-0.058333333,0.083333333,0.45,1.141666667,1.4
1960,-0.116666667,-0.075,2.31296E-18,-0.05,0.058333333,0.216666667,0.441666667,0.775,0.808333333
1961,-0.1,-0.058333333,0.008333333,0.008333333,0.033333333,0.066666667,0.366666667,0.75,0.8
1962,-0.15,-0.141666667,-0.108333333,-0.166666667,-0.208333333,-0.016666667,0.141666667,0.55,0.816666667
1963,-0.225,-0.2,-0.158333333,-0.141666667,0.141666667,0.266666667,0.708333333,1.25,1.008333333
1964,-0.333333333,-0.308333333,-0.308333333,-0.166666667,0.033333333,0.066666667,0.641666667,1.308333333,1.125
1965,-0.35,-0.433333333,-0.466666667,-0.483333333,-0.391666667,-0.225,0.375,0.908333333,0.666666667
1966,-0.2,-0.141666667,-0.108333333,-0.1,0.016666667,0.25,0.291666667,0.4,0.4
1967,-0.15,-0.225,-0.208333333,-0.241666667,-0.233333333,-0.141666667,0.083333333,0.733333333,0.858333333
1968,-0.266666667,-0.283333333,-0.333333333,-0.391666667,-0.333333333,-0.116666667,0.158333333,0.566666667,0.525
1969,-0.175,-0.108333333,-0.016666667,-0.025,0.033333333,0.225,0.3,0.4,0.408333333
1970,-0.141666667,-0.116666667,-0.125,-0.075,0.016666667,0.141666667,0.175,0.35,0.275
1971,-0.391666667,-0.433333333,-0.525,-0.525,-0.125,-0.208333333,-0.141666667,0.275,0.1
1972,-0.35,-0.366666667,-0.358333333,-0.316666667,-0.333333333,-0.225,-0.058333333,0.183333333,0.041666667
1973,-0.016666667,0.033333333,0.066666667,0.191666667,0.191666667,0.216666667,0.083333333,-0.233333333,-0.158333333
1974,-0.283333333,-0.308333333,-0.325,-0.4,-0.425,-0.366666667,-0.183333333,0.158333333,-0.075
1975,-0.216666667,-0.258333333,-0.291666667,-0.283333333,-0.083333333,-0.066666667,0.033333333,0.125,-0.116666667
1976,-0.5,-0.5,-0.525,-0.658333333,-0.541666667,-0.391666667,-0.125,0.225,0.166666667
1977,-0.008333333,0,-0.025,-0.016666667,0.125,0.158333333,0.091666667,-0.166666667,-0.266666667
1978,-0.041666667,0.025,-0.041666667,-0.033333333,0.15,0.166666667,0.041666667,-0.033333333,0.133333333
1979,0.091666667,0.108333333,0.075,0.066666667,0.2,0.208333333,0.141666667,0.241666667,0.358333333
1980,0.25,0.258333333,0.225,0.283333333,0.458333333,0.416666667,0.166666667,0.183333333,0.391666667
1981,0.266666667,0.241666667,0.233333333,0.141666667,0.008333333,-0.008333333,0.025,0.225,0.466666667
1982,-0.033333333,0.05,0.05,0.016666667,0.158333333,0.291666667,0.691666667,0.925,1.1
1983,0.233333333,0.266666667,0.216666667,0.191666667,0.216666667,0.316666667,0.616666667,0.741666667,0.558333333
1984,-0.075,-0.05,-0.075,-0.116666667,0.025,-0.266666667,-0.158333333,-0.233333333,-0.233333333
1985,0,-0.041666667,-0.05,-0.166666667,-0.158333333,-0.25,-0.333333333,-0.525,-0.4
1986,0.016666667,0.041666667,0.05,0.025,-0.091666667,-0.141666667,-0.283333333,-0.333333333,-0.3
1987,0.208333333,0.291666667,0.358333333,0.475,0.375,0.375,0.075,-0.5,-0.4
1988,0.383333333,0.308333333,0.375,0.475,0.266666667,0.158333333,-0.141666667,-0.583333333,-0.416666667
1989,0.2,0.133333333,0.141666667,0.133333333,0.008333333,-0.183333333,-0.3,-0.15,-0.133333333
1990,0.416666667,0.35,0.408333333,0.475,0.416666667,0.225,-0.133333333,-0.391666667,-0.283333333
1991,0.333333333,0.325,0.366666667,0.433333333,0.275,0.233333333,0.108333333,0.266666667,0.308333333
1992,0.058333333,0.033333333,0,-0.083333333,-0.016666667,0.175,0.333333333,0.65,0.033333333
1993,0.016666667,0.058333333,0.116666667,0.083333333,-0.341666667,-0.583333333,-0.441666667,-0.775,-0.758333333
1994,0.191666667,0.141666667,0.166666667,0.241666667,-0.091666667,-0.266666667,-0.425,-1.133333333,-1.275
1995,0.266666667,0.233333333,0.225,0.2,-0.241666667,-0.383333333,-0.733333333,-1.383333333,-1.158333333
1996,0.141666667,0.1,0.066666667,0.066666667,-0.016666667,-0.291666667,-0.858333333,-1.316666667,-1.458333333
1997,0.166666667,0.133333333,0.083333333,0.125,0.008333333,-0.133333333,-0.75,-1.466666667,-1.541666667
1998,0.641666667,0.716666667,0.808333333,0.933333333,0.491666667,0.233333333,-0.2,-1.55,-1.633333333
1999,0.283333333,0.208333333,0.191666667,0.241666667,0.025,-0.391666667,-0.8,-1.425,-1.5
2000,0.2,0.191666667,0.158333333,0.141666667,-0.266666667,-0.583333333,-0.841666667,-1.308333333,-1.4
2001,0.366666667,0.383333333,0.358333333,0.225,-0.066666667,-0.133333333,-0.583333333,-1.225,-1.358333333
2002,0.5,0.5,0.458333333,0.433333333,0.166666667,0.058333333,-0.525,-1.658333333,-1.641666667
2003,0.475,0.5,0.5,0.466666667,0.083333333,-0.025,-0.458333333,-1.308333333,-1.483333333
2004,0.366666667,0.35,0.341666667,0.316666667,0.2,0.116666667,-0.45,-1.441666667,-1.5
2005,0.65,0.608333333,0.6,0.475,0.1,0.016666667,-0.483333333,-1.391666667,-1.65
2006,0.516666667,0.516666667,0.516666667,0.408333333,0.075,-0.108333333,-0.541666667,-1.475,-1.5
2007,0.616666667,0.583333333,0.608333333,0.475,0.008333333,-0.25,-0.633333333,-1.508333333,-1.633333333
2008,0.35,0.3,0.25,0.091666667,-0.1,-0.408333333,-0.733333333,-1.333333333,-1.6
