The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,,,,,,
Title: Monthly temperature anomaly (degree Kelvin/Celcius),,,,,,,,,,,
Source: File - hadat2_monthly_global_mean.txt downloaded from - http://hadobs.metoffice.com/hadat/hadat2.html,,,,,,,,,,,
Acknowledgements: to Peter Thorne and Holly Titchner who maintain the site.,,,,,,,,,,,
Year,Month,Year,850hPa,700hPa,500hPa,300hPa,200hPa,150hPa,100hPa,50hPa,30hPa
1958,1,1958.041667,0,0.1,0.2,-0.2,-0.5,0,1.1,1.7,2.5
1958,2,1958.125,0.2,0.3,0.2,0,-0.6,0,0.8,0.7,1
1958,3,1958.208333,0,0.1,0,0.2,0.1,0.3,1,0.7,0.9
1958,4,1958.291667,-0.1,0.1,0.1,0.2,0.1,0,0.6,1.1,1.7
1958,5,1958.375,0.1,0,0.1,0.1,-0.1,-0.1,0.8,1,1.2
1958,6,1958.458333,-0.1,0,0.2,0.1,0.1,0.3,0.5,0.4,0.4
1958,7,1958.541667,0,0.1,0.1,0.2,0.4,0.2,0.4,0.6,0.7
1958,8,1958.625,-0.2,0,0,-0.2,-0.2,0.1,0.5,1,0.7
1958,9,1958.708333,-0.4,0,0,0,-0.2,0.2,0.4,0.8,0.8
1958,10,1958.791667,0.2,0.3,0.5,0.3,-0.2,0,0.6,1.3,1
1958,11,1958.875,-0.1,0,0.3,0.1,-0.4,0,0.8,1.1,1.6
1958,12,1958.958333,-0.1,-0.1,-0.1,-0.6,-0.6,0.1,1,1.3,1.2
1959,1,1959.041667,0.1,0.1,0.3,0,0,0.3,0.2,0.5,0.9
1959,2,1959.125,-0.2,-0.1,-0.1,-0.3,-0.3,0.3,0.6,1,1.7
1959,3,1959.208333,0.1,0.3,0.3,0,0,0.2,0.6,2,1.6
1959,4,1959.291667,0,0.1,0.1,0.2,0.4,0.1,0.2,1.1,0.4
1959,5,1959.375,-0.2,-0.1,-0.2,-0.1,0.1,0.3,0.8,0.9,0.2
1959,6,1959.458333,0,-0.1,0,0,-0.1,0.3,0.5,0.8,0.6
1959,7,1959.541667,-0.1,-0.1,0.2,0.2,0,0.1,0.5,0.7,1.4
1959,8,1959.625,-0.1,-0.1,0.2,0.3,0.3,0.3,0.7,1.3,2
1959,9,1959.708333,-0.2,-0.1,0,0.2,-0.3,-0.3,0.1,1.7,2.3
1959,10,1959.791667,-0.1,0,0,0,-0.2,-0.2,0.3,1.5,2.1
1959,11,1959.875,-0.1,0.1,0.2,0.1,-0.7,-0.5,0.2,1.1,1.8
1959,12,1959.958333,0.1,0.1,0.3,0.3,0.1,0.1,0.7,1.1,1.8
1960,1,1960.041667,0,0.1,0.2,0.1,0,0.2,0.7,-0.2,0.2
1960,2,1960.125,0.1,0,0.1,0.2,0.2,0.1,0.3,0.6,1
1960,3,1960.208333,-0.5,-0.4,-0.3,-0.4,-0.2,0,0.2,1,1.3
1960,4,1960.291667,-0.1,-0.1,0,-0.1,-0.1,0.1,0.2,0.4,0.6
1960,5,1960.375,0,0.1,0.2,0.1,0,0,0.1,0.8,0.4
1960,6,1960.458333,-0.1,-0.2,-0.2,-0.2,0.2,0.3,0.4,0.5,0.7
1960,7,1960.541667,-0.2,-0.2,-0.1,-0.3,0,0.2,0.4,0.7,0.8
1960,8,1960.625,-0.1,0,0.2,0.1,0.1,0.4,0.3,1.1,0.8
1960,9,1960.708333,-0.1,0,0,0,0.1,0.2,0.5,1.3,1.5
1960,10,1960.791667,0.1,0.1,0.2,0,0.1,0.2,0.5,1.3,1.3
1960,11,1960.875,-0.3,-0.2,-0.2,0,0.3,0.3,0.8,0.9,0.6
1960,12,1960.958333,-0.2,-0.1,-0.1,-0.1,0,0.6,0.9,0.9,0.5
1961,1,1961.041667,-0.2,-0.1,-0.1,0.1,0.2,0.5,0.4,0.4,0.3
1961,2,1961.125,-0.1,-0.2,-0.2,-0.6,-0.4,0.1,0.5,0.4,0.5
1961,3,1961.208333,-0.1,-0.1,0,0,0.3,0.6,0.9,0.5,0.5
1961,4,1961.291667,0,0,0.2,0.3,0.4,0.5,0.4,-0.1,-0.1
1961,5,1961.375,0,0.2,0.2,0.4,0.8,0.8,0.1,0.5,0.4
1961,6,1961.458333,-0.2,-0.1,-0.1,-0.1,0.4,0.4,0.5,0.8,0.8
1961,7,1961.541667,-0.3,-0.2,-0.1,-0.2,0.1,-0.1,0.4,0.7,1
1961,8,1961.625,-0.1,-0.1,0.1,0.1,-0.2,-0.1,0.2,1,1.1
1961,9,1961.708333,-0.1,-0.1,0.1,0.2,-0.1,-0.2,0.3,1.5,1.4
1961,10,1961.791667,0.1,0.3,0.3,0.3,-0.1,-0.6,0.1,1.7,1.6
1961,11,1961.875,-0.1,-0.1,-0.1,-0.2,-0.5,-0.6,0.4,1.2,1.4
1961,12,1961.958333,-0.1,-0.2,-0.2,-0.2,-0.5,-0.5,0.2,0.4,0.7
1962,1,1962.041667,-0.3,-0.2,0,0.1,-0.6,-0.4,0.1,0.6,0.9
1962,2,1962.125,0.1,0.1,0.1,0,-0.2,0.2,0.1,1,1.8
1962,3,1962.208333,-0.2,-0.3,-0.2,-0.5,-0.6,-0.1,0.3,0.4,0.7
1962,4,1962.291667,-0.3,-0.2,-0.1,-0.2,-0.3,-0.1,-0.1,0.9,1.1
1962,5,1962.375,-0.1,-0.2,-0.1,-0.1,-0.3,-0.1,0,0.6,0.8
1962,6,1962.458333,-0.2,-0.2,-0.4,-0.5,-0.4,-0.3,0.2,0.6,0.8
1962,7,1962.541667,-0.2,-0.1,0,-0.1,-0.2,0,-0.2,0.3,0
1962,8,1962.625,-0.3,-0.2,-0.3,-0.4,-0.1,0,0.1,0,0.6
1962,9,1962.708333,0,0,0.1,0.2,0.4,0.2,0.2,0.3,0.6
1962,10,1962.791667,0,0.1,0,0.1,0.2,0.3,0.3,0.5,0.8
1962,11,1962.875,-0.1,-0.1,-0.2,-0.3,0,0.2,0.4,0.4,0.5
1962,12,1962.958333,-0.2,-0.4,-0.2,-0.3,-0.4,-0.1,0.3,1,1.2
1963,1,1963.041667,-0.4,-0.4,-0.2,0,-0.4,-0.3,0.3,0.8,1.9
1963,2,1963.125,0,-0.2,-0.3,-0.2,-0.4,-0.4,0,0.7,0.5
1963,3,1963.208333,-0.3,-0.3,-0.2,-0.1,0.2,-0.1,-0.1,0.2,0
1963,4,1963.291667,-0.5,-0.4,-0.2,-0.3,0,0,0.3,0.4,0.2
1963,5,1963.375,-0.2,-0.2,-0.2,-0.1,0.3,0.7,0.7,1.1,1
1963,6,1963.458333,-0.3,-0.3,-0.4,-0.2,0.5,0.8,1.3,1.7,1.6
1963,7,1963.541667,-0.1,0,-0.2,-0.2,0.2,0.3,1.2,2,1.2
1963,8,1963.625,-0.1,0,0.1,-0.1,0.2,0.4,0.8,2.1,1.2
1963,9,1963.708333,0.1,0.2,0.2,0.2,0.4,0.6,0.9,1.6,1
1963,10,1963.791667,-0.1,-0.1,0,-0.1,0.3,0.3,0.7,1.4,1.3
1963,11,1963.875,-0.4,-0.4,-0.4,-0.5,0.2,0.4,1.2,1.5,1.2
1963,12,1963.958333,-0.4,-0.3,-0.1,-0.1,0.2,0.5,1.2,1.5,1
1964,1,1964.041667,-0.3,-0.3,-0.3,-0.3,0.2,0.7,1.2,1.9,2.2
1964,2,1964.125,-0.4,-0.1,-0.2,-0.1,0,0.4,1.1,2.6,2.1
1964,3,1964.208333,-0.3,-0.1,-0.1,0.1,0,0.2,0.8,2.1,1.8
1964,4,1964.291667,-0.3,-0.2,-0.1,0.2,0.3,0.3,0.8,1.5,1
1964,5,1964.375,-0.3,-0.3,-0.1,0.2,0.1,-0.1,0.5,1.6,1.3
1964,6,1964.458333,-0.3,-0.4,-0.5,-0.6,-0.4,-0.3,0.5,1.7,1
1964,7,1964.541667,-0.1,-0.2,-0.3,-0.2,0.3,0,1.1,1.5,0.8
