The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
1947,1,,115.7,,
1947,2,1983,133.4,,
1947,3,2334,129.8,,
1947,4,2658,149.8,,
1947,5,2671,201.3,,
1947,6,2338,163.9,,
1947,7,2223,157.9,,
1947,8,2371,188.8,,
1947,9,2019,169.4,,
1947,10,2077,163.6,,
1947,11,1758,128,,
1947,12,1710,116.5,,
1948,1,1507,108.5
1948,2,1310,86.1
1948,3,1341,94.8
1948,4,2097,189.7
1948,5,2314,174
1948,6,2018,167.8
1948,7,1887,142.2
1948,8,1772,157.9
1948,9,1656,143.3
1948,10,1580,136.3
1948,11,1618,95.8
1948,12,1873,138
1949,1,1777,119.1
1949,2,2148,182.3
1949,3,2018,157.5
1949,4,1838,147
1949,5,1583,106.2
1949,6,1625,121.7
1949,7,1651,125.8
1949,8,1795,123.8
1949,9,1744,145.3
1949,10,1772,131.6
1949,11,1765,143.5
1949,12,1601,117.6
1950,1,1459,101.6
1950,2,1398,94.8
1950,3,1364,109.7
1950,4,1655,113.4
1950,5,1605,106.2
1950,6,1328,83.6
1950,7,1385,91
1950,8,1239,85.2
1950,9,997,51.3
1950,10,993,61.4
1950,11,997,54.8
1950,12,980,54.1
1951,1,1045,59.9
1951,2,994,59.9
1951,3,1015,55.9
1951,4,1280,92.9
1951,5,1725,108.5
1951,6,1669,100.6
1951,7,1202,61.5
1951,8,1125,61
1951,9,1191,83.1
1951,10,1053,51.6
1951,11,1021,52.4
1951,12,992,45.8
1952,1,924,40.7,,
1952,2,842,22.7,,
1952,3,778,22,,
1952,4,846,29.1,,
1952,5,827,23.4,,
1952,6,875,36.4,,
1952,7,917,39.3,,
1952,8,956,54.9,,
1952,9,823,28.2,,
1952,10,824,23.8,,
1952,11,816,22.1,,
1952,12,830,34.3,,
1953,1,805,26.5,-4163,4163
1953,2,711,3.9,-4193,4193
1953,3,697,10,-4183,4183
1953,4,816,27.8,-4187,4187
1953,5,741,12.5,-4190,4190
1953,6,753,21.8,-4200,4200
1953,7,721,8.6,-4196,4196
1953,8,774,23.5,-4205,4205
1953,9,751,19.3,-4209,4209
1953,10,715,8.2,-4213,4213
1953,11,698,1.6,-4220,4220
1953,12,686,2.5,-4226,4226
1954,1,665,0.2,-4225,4225
1954,2,675,0.5,-4246,4246
1954,3,711,10.9,-4286,4286
1954,4,692,1.8,-4269,4269
1954,5,695,0.8,-4280,4280
1954,6,694,0.2,-4277,4277
1954,7,700,4.8,-4285,4285
1954,8,716,8.4,-4317,4317
1954,9,709,1.5,-4308,4308
1954,10,727,7,-4306,4306
1954,11,710,9.2,-4286,4286
1954,12,731,7.6,-4269,4269
1955,1,816,23.1,-4200,4200
