Title: Sunspot, latitude and percentage area
Source:  http://solarscience.msfc.nasa.gov/greenwch/bflydata.txt
Year,Latitude, Percentage of area
1874.391,-87.44,0.0000
1874.391,-73.57,0.0000
1874.391,-66.69,0.0000
1874.391,-61.35,0.0000
1874.391,-56.80,0.0000
1874.391,-52.74,0.0000
1874.391,-49.03,0.0000
1874.391,-45.58,0.0000
1874.391,-42.34,0.0000
1874.391,-39.25,0.0000
1874.391,-36.29,0.0000
1874.391,-33.44,0.0000
1874.391,-30.68,0.0000
1874.391,-27.99,0.0000
1874.391,-25.38,0.0000
1874.391,-22.81,0.0000
1874.391,-20.30,0.0000
1874.391,-17.83,0.0000
1874.391,-15.39,-0.0035
1874.391,-12.97,-0.0009
1874.391,-10.58,0.0000
1874.391,-8.21,-0.0108
1874.391,-5.86,-0.0037
1874.391,-3.51,0.0000
1874.391,-1.17,0.0000
1874.391,1.17,0.0000
1874.391,3.51,0.0000
1874.391,5.86,0.0000
1874.391,8.21,-0.0031
1874.391,10.58,0.0000
1874.391,12.97,0.0000
1874.391,15.39,0.0000
1874.391,17.83,0.0000
1874.391,20.30,-0.0002
1874.391,22.81,-0.0003
1874.391,25.38,0.0000
1874.391,27.99,0.0000
1874.391,30.68,0.0000
1874.391,33.44,0.0000
1874.391,36.29,0.0000
1874.391,39.25,0.0000
1874.391,42.34,0.0000
1874.391,45.58,0.0000
1874.391,49.03,0.0000
1874.391,52.74,0.0000
1874.391,56.80,0.0000
1874.391,61.35,0.0000
1874.391,66.69,0.0000
1874.391,73.57,0.0000
1874.391,87.44,0.0000
1874.465,-87.44,0.0000
1874.465,-73.57,0.0000
1874.465,-66.69,0.0000
1874.465,-61.35,0.0000
1874.465,-56.80,0.0000
1874.465,-52.74,0.0000
1874.465,-49.03,0.0000
1874.465,-45.58,0.0000
1874.465,-42.34,0.0000
1874.465,-39.25,0.0000
1874.465,-36.29,0.0000
1874.465,-33.44,0.0000
1874.465,-30.68,0.0000
1874.465,-27.99,0.0000
1874.465,-25.38,0.0000
1874.465,-22.81,0.0000
1874.465,-20.30,0.0000
1874.465,-17.83,0.0000
1874.465,-15.39,-0.0010
1874.465,-12.97,0.0000
1874.465,-10.58,-0.0036
1874.465,-8.21,-0.0013
1874.465,-5.86,-0.0011
1874.465,-3.51,0.0000
1874.465,-1.17,0.0000
1874.465,1.17,0.0000
1874.465,3.51,0.0000
1874.465,5.86,0.0000
1874.465,8.21,-0.0001
1874.465,10.58,-0.0129
1874.465,12.97,-0.0027
1874.465,15.39,0.0000
1874.465,17.83,0.0000
1874.465,20.30,0.0000
1874.465,22.81,0.0000
1874.465,25.38,0.0000
1874.465,27.99,0.0000
1874.465,30.68,0.0000
1874.465,33.44,0.0000
1874.465,36.29,0.0000
1874.465,39.25,0.0000
1874.465,42.34,0.0000
1874.465,45.58,0.0000
1874.465,49.03,0.0000
1874.465,52.74,0.0000
1874.465,56.80,0.0000
1874.465,61.35,0.0000
1874.465,66.69,0.0000
1874.465,73.57,0.0000
1874.465,87.44,0.0000
1874.542,-87.44,0.0000
1874.542,-73.57,0.0000
1874.542,-66.69,0.0000
1874.542,-61.35,0.0000
1874.542,-56.80,0.0000
1874.542,-52.74,0.0000
1874.542,-49.03,0.0000
1874.542,-45.58,0.0000
1874.542,-42.34,0.0000
1874.542,-39.25,0.0000
1874.542,-36.29,0.0000
1874.542,-33.44,0.0000
1874.542,-30.68,0.0000
1874.542,-27.99,0.0000
1874.542,-25.38,0.0000
1874.542,-22.81,0.0000
1874.542,-20.30,0.0000
1874.542,-17.83,0.0000
1874.542,-15.39,0.0000
1874.542,-12.97,0.0000
1874.542,-10.58,-0.0331
1874.542,-8.21,-0.0009
1874.542,-5.86,-0.0095
1874.542,-3.51,-0.0008
1874.542,-1.17,0.0000
1874.542,1.17,0.0000
1874.542,3.51,-0.0001
1874.542,5.86,-0.0023
1874.542,8.21,-0.0013
1874.542,10.58,-0.0403
1874.542,12.97,-0.0029
