The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Estimated monthly sunspot nmubers.,,
Reference,"Hoyt, D. V., and K. H. Schatten, 1997. Group Sunspot Numbers: A New Solar Activity Reconstruction. Solar Physics, (submitted).",,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsunspotnumber.html,,
Missing,-99,,
Yeay,Month,Date,Sun spot number
1610,1,1610.041667,
1610,2,1610.125,0
1610,3,1610.208333,
1610,4,1610.291667,
1610,5,1610.375,
1610,6,1610.458333,
1610,7,1610.541667,
1610,8,1610.625,
1610,9,1610.708333,
1610,10,1610.791667,
1610,11,1610.875,
1610,12,1610.958333,72
1611,1,1611.041667,0
1611,2,1611.125,0
1611,3,1611.208333,
1611,4,1611.291667,
1611,5,1611.375,
1611,6,1611.458333,
1611,7,1611.541667,
1611,8,1611.625,
1611,9,1611.708333,
1611,10,1611.791667,57.3
1611,11,1611.875,60.7
1611,12,1611.958333,52.8
1612,1,1612.041667,79
1612,2,1612.125,92.5
1612,3,1612.208333,55.9
1612,4,1612.291667,31.8
1612,5,1612.375,79.9
1612,6,1612.458333,99.6
1612,7,1612.541667,110.9
1612,8,1612.625,100.2
1612,9,1612.708333,98.8
1612,10,1612.791667,100.1
1612,11,1612.875,134.4
1612,12,1612.958333,129.6
1613,1,1613.041667,118.4
1613,2,1613.125,83
1613,3,1613.208333,108.5
1613,4,1613.291667,
1613,5,1613.375,236
1613,6,1613.458333,92.3
1613,7,1613.541667,81.1
1613,8,1613.625,62.9
1613,9,1613.708333,94.5
1613,10,1613.791667,
1613,11,1613.875,
1613,12,1613.958333,
1614,1,1614.041667,
1614,2,1614.125,
1614,3,1614.208333,
1614,4,1614.291667,
1614,5,1614.375,
1614,6,1614.458333,
1614,7,1614.541667,
1614,8,1614.625,
1614,9,1614.708333,
1614,10,1614.791667,121
1614,11,1614.875,
1614,12,1614.958333,
1615,1,1615.041667,
1615,2,1615.125,
1615,3,1615.208333,151
1615,4,1615.291667,
1615,5,1615.375,
1615,6,1615.458333,
1615,7,1615.541667,
1615,8,1615.625,75
1615,9,1615.708333,
1615,10,1615.791667,
1615,11,1615.875,15
1615,12,1615.958333,
1616,1,1616.041667,
1616,2,1616.125,29.8
1616,3,1616.208333,43.6
1616,4,1616.291667,15
1616,5,1616.375,17
1616,6,1616.458333,15
1616,7,1616.541667,
1616,8,1616.625,
1616,9,1616.708333,
1616,10,1616.791667,
1616,11,1616.875,0
1616,12,1616.958333,
1617,1,1617.041667,
1617,2,1617.125,
1617,3,1617.208333,
1617,4,1617.291667,
1617,5,1617.375,15
1617,6,1617.458333,3
1617,7,1617.541667,0
1617,8,1617.625,0
1617,9,1617.708333,0
1617,10,1617.791667,0
1617,11,1617.875,0
1617,12,1617.958333,0
1618,1,1618.041667,0
1618,2,1618.125,0
1618,3,1618.208333,5.3
1618,4,1618.291667,0
1618,5,1618.375,0
1618,6,1618.458333,4.5
1618,7,1618.541667,5.8
1618,8,1618.625,0
1618,9,1618.708333,0
1618,10,1618.791667,0
1618,11,1618.875,0
1618,12,1618.958333,0
1619,1,1619.041667,15
1619,2,1619.125,
1619,3,1619.208333,
1619,4,1619.291667,
1619,5,1619.375,
1619,6,1619.458333,
1619,7,1619.541667,
1619,8,1619.625,15
1619,9,1619.708333,
1619,10,1619.791667,
1619,11,1619.875,
1619,12,1619.958333,
1620,1,1620.041667,
1620,2,1620.125,15
1620,3,1620.208333,
1620,4,1620.291667,15
1620,5,1620.375,
1620,6,1620.458333,
1620,7,1620.541667,
1620,8,1620.625,
1620,9,1620.708333,
1620,10,1620.791667,15
1620,11,1620.875,
1620,12,1620.958333,15
1621,1,1621.041667,15
1621,2,1621.125,
1621,3,1621.208333,
1621,4,1621.291667,
1621,5,1621.375,
1621,6,1621.458333,
1621,7,1621.541667,
1621,8,1621.625,
1621,9,1621.708333,15
1621,10,1621.791667,15
1621,11,1621.875,15
1621,12,1621.958333,
1622,1,1622.041667,
1622,2,1622.125,15
1622,3,1622.208333,15
1622,4,1622.291667,
1622,5,1622.375,15
1622,6,1622.458333,15
1622,7,1622.541667,
1622,8,1622.625,
1622,9,1622.708333,
1622,10,1622.791667,
1622,11,1622.875,
1622,12,1622.958333,
1623,1,1623.041667,
1623,2,1623.125,
1623,3,1623.208333,15
1623,4,1623.291667,
1623,5,1623.375,
1623,6,1623.458333,
1623,7,1623.541667,
1623,8,1623.625,
1623,9,1623.708333,
1623,10,1623.791667,
1623,11,1623.875,
1623,12,1623.958333,
1624,1,1624.041667,
1624,2,1624.125,
1624,3,1624.208333,
1624,4,1624.291667,15
1624,5,1624.375,15
1624,6,1624.458333,
1624,7,1624.541667,
1624,8,1624.625,3
1624,9,1624.708333,15
1624,10,1624.791667,
1624,11,1624.875,0
1624,12,1624.958333,9.4
1625,1,1625.041667,40.2
1625,2,1625.125,45.5
1625,3,1625.208333,41.1
1625,4,1625.291667,33.5
1625,5,1625.375,23
1625,6,1625.458333,48
1625,7,1625.541667,48
1625,8,1625.625,24.2
1625,9,1625.708333,25.5
1625,10,1625.791667,61.5
1625,11,1625.875,60.6
1625,12,1625.958333,58.2
1626,1,1626.041667,33.7
1626,2,1626.125,49.3
1626,3,1626.208333,31.9
1626,4,1626.291667,36.3
1626,5,1626.375,49.2
1626,6,1626.458333,15.8
1626,7,1626.541667,14.5
1626,8,1626.625,23.9
1626,9,1626.708333,33.5
1626,10,1626.791667,12
1626,11,1626.875,7.3
1626,12,1626.958333,12.2
1627,1,1627.041667,13
1627,2,1627.125,25.2
1627,3,1627.208333,22.9
1627,4,1627.291667,
1627,5,1627.375,12.9
1627,6,1627.458333,12.2
1627,7,1627.541667,19.1
1627,8,1627.625,10
1627,9,1627.708333,
1627,10,1627.791667,
1627,11,1627.875,
1627,12,1627.958333,
1628,1,1628.041667,33
1628,2,1628.125,15
1628,3,1628.208333,30
1628,4,1628.291667,
1628,5,1628.375,
1628,6,1628.458333,30
1628,7,1628.541667,
1628,8,1628.625,17.5
1628,9,1628.708333,15
1628,10,1628.791667,15
1628,11,1628.875,30
1628,12,1628.958333,
1629,1,1629.041667,
1629,2,1629.125,30
1629,3,1629.208333,25.9
1629,4,1629.291667,
1629,5,1629.375,15
1629,6,1629.458333,15
1629,7,1629.541667,15
1629,8,1629.625,15
1629,9,1629.708333,15
1629,10,1629.791667,
1629,11,1629.875,
1629,12,1629.958333,
1630,1,1630.041667,
1630,2,1630.125,
1630,3,1630.208333,
1630,4,1630.291667,
1630,5,1630.375,
1630,6,1630.458333,
1630,7,1630.541667,
1630,8,1630.625,
1630,9,1630.708333,0
1630,10,1630.791667,
1630,11,1630.875,
1630,12,1630.958333,0
1631,1,1631.041667,
1631,2,1631.125,0
1631,3,1631.208333,0
1631,4,1631.291667,0
1631,5,1631.375,0
1631,6,1631.458333,8.6
1631,7,1631.541667,
1631,8,1631.625,
1631,9,1631.708333,
1631,10,1631.791667,
1631,11,1631.875,7.5
1631,12,1631.958333,15
1632,1,1632.041667,0
1632,2,1632.125,0
1632,3,1632.208333,0
1632,4,1632.291667,0
1632,5,1632.375,0
1632,6,1632.458333,0
1632,7,1632.541667,0
1632,8,1632.625,0
1632,9,1632.708333,0
1632,10,1632.791667,0
1632,11,1632.875,0
1632,12,1632.958333,0
1633,1,1633.041667,0
1633,2,1633.125,0
1633,3,1633.208333,0
1633,4,1633.291667,25.4
1633,5,1633.375,30
1633,6,1633.458333,
1633,7,1633.541667,
1633,8,1633.625,
1633,9,1633.708333,
1633,10,1633.791667,30
1633,11,1633.875,
1633,12,1633.958333,15
1634,1,1634.041667,0
1634,2,1634.125,0
1634,3,1634.208333,0
1634,4,1634.291667,0
1634,5,1634.375,0
1634,6,1634.458333,0
1634,7,1634.541667,0
1634,8,1634.625,0
1634,9,1634.708333,0
1634,10,1634.791667,5.8
1634,11,1634.875,27
1634,12,1634.958333,3.6
1635,1,1635.041667,30
1635,2,1635.125,15
1635,3,1635.208333,0
1635,4,1635.291667,0
1635,5,1635.375,0
1635,6,1635.458333,0
1635,7,1635.541667,0
1635,8,1635.625,0
1635,9,1635.708333,0
1635,10,1635.791667,6.7
1635,11,1635.875,0
