yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
799900,210.87,291.18,340.953,Milankovitch radiation for different latitudes and time periods,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/
799800,210.82,291.2,340.955,,The copyright to the intellectual property of this file is held by www.climatedata.info
799700,210.77,291.22,340.957,,
799600,210.71,291.24,340.958,,
799500,210.66,291.25,340.96,,
799400,210.61,291.27,340.962,,
799300,210.56,291.29,340.963,,
799200,210.51,291.31,340.965,,
799100,210.45,291.33,340.967,,
799000,210.4,291.35,340.969,,
798900,210.35,291.37,340.97,,
798800,210.36,291.39,340.972,,
798700,210.37,291.41,340.975,,
798600,210.38,291.43,340.977,,
798500,210.39,291.45,340.979,,
798400,210.4,291.47,340.981,,
798300,210.41,291.49,340.983,,
798200,210.42,291.51,340.986,,
798100,210.43,291.53,340.988,,
798000,210.44,291.55,340.99,,
797900,210.45,291.57,340.992,,
797800,210.52,291.59,340.992,,
797700,210.59,291.61,340.993,,
797600,210.66,291.62,340.993,,
797500,210.73,291.64,340.993,,
797400,210.8,291.66,340.993,,
797300,210.87,291.68,340.994,,
797200,210.94,291.7,340.994,,
797100,211.01,291.71,340.994,,
797000,211.08,291.73,340.994,,
796900,211.15,291.75,340.995,,
796800,211.28,291.77,340.992,,
796700,211.41,291.78,340.99,,
796600,211.54,291.79,340.988,,
796500,211.66,291.81,340.985,,
796400,211.79,291.82,340.983,,
796300,211.92,291.84,340.981,,
796200,212.04,291.85,340.978,,
796100,212.17,291.87,340.976,,
796000,212.3,291.88,340.974,,
795900,212.43,291.9,340.971,,
795800,212.61,291.91,340.973,,
795700,212.8,291.93,340.975,,
795600,212.98,291.95,340.977,,
795500,213.17,291.96,340.979,,
795400,213.35,291.98,340.981,,
795300,213.54,292,340.983,,
795200,213.73,292.01,340.985,,
795100,213.91,292.03,340.987,,
795000,214.1,292.05,340.989,,
794900,214.28,292.06,340.991,,
794800,214.49,292.08,340.992,,
794700,214.7,292.09,340.993,,
794600,214.91,292.11,340.995,,
794500,215.11,292.12,340.996,,
794400,215.32,292.14,340.997,,
794300,215.53,292.15,340.998,,
794200,215.74,292.16,340.999,,
794100,215.95,292.18,341.001,,
794000,216.15,292.19,341.002,,
793900,216.36,292.21,341.003,,
793800,216.59,292.22,341.004,,
793700,216.81,292.23,341.004,,
793600,217.03,292.24,341.005,,
793500,217.26,292.25,341.006,,
793400,217.48,292.27,341.006,,
793300,217.7,292.28,341.007,,
793200,217.93,292.29,341.007,,
793100,218.15,292.3,341.008,,
793000,218.38,292.31,341.009,,
792900,218.6,292.32,341.009,,
792800,218.83,292.33,341.01,,
792700,219.05,292.35,341.01,,
792600,219.28,292.36,341.011,,
792500,219.5,292.37,341.011,,
792400,219.73,292.38,341.012,,
792300,219.96,292.39,341.012,,
792200,220.18,292.4,341.013,,
792100,220.41,292.41,341.013,,
792000,220.64,292.42,341.014,,
791900,220.86,292.43,341.014,,
791800,221.05,292.44,341.015,,
791700,221.24,292.45,341.016,,
791600,221.44,292.46,341.018,,
791500,221.63,292.47,341.019,,
791400,221.82,292.48,341.02,,
791300,222.01,292.49,341.021,,
791200,222.2,292.49,341.022,,
791100,222.39,292.5,341.023,,
791000,222.59,292.51,341.024,,
790900,222.78,292.52,341.026,,
790800,222.92,292.52,341.022,,
790700,223.06,292.53,341.019,,
790600,223.2,292.53,341.016,,
790500,223.34,292.53,341.013,,
790400,223.48,292.53,341.01,,
790300,223.63,292.53,341.006,,
790200,223.77,292.53,341.003,,
790100,223.91,292.54,341,,
790000,224.05,292.54,340.997,,
789900,224.19,292.54,340.993,,
789800,224.28,292.55,340.997,,
789700,224.36,292.55,341.001,,
789600,224.44,292.56,341.005,,
789500,224.53,292.56,341.009,,
789400,224.61,292.57,341.013,,
789300,224.7,292.57,341.018,,
789200,224.78,292.58,341.022,,
789100,224.87,292.58,341.026,,
789000,224.95,292.59,341.03,,
788900,225.04,292.59,341.034,,
788800,225.06,292.59,341.031,,
788700,225.07,292.59,341.029,,
788600,225.09,292.59,341.027,,
788500,225.11,292.58,341.025,,
788400,225.13,292.58,341.023,,
788300,225.15,292.58,341.021,,
788200,225.17,292.58,341.019,,
788100,225.18,292.57,341.016,,
788000,225.2,292.57,341.014,,
787900,225.22,292.57,341.012,,
787800,225.17,292.57,341.012,,
787700,225.12,292.56,341.012,,
787600,225.07,292.56,341.012,,
787500,225.03,292.56,341.012,,
787400,224.98,292.56,341.011,,
787300,224.93,292.55,341.011,,
787200,224.88,292.55,341.011,,
787100,224.83,292.55,341.011,,
787000,224.78,292.55,341.011,,
786900,224.74,292.54,341.011,,
786800,224.62,292.54,341.007,,
786700,224.5,292.53,341.004,,
786600,224.38,292.52,341,,
786500,224.26,292.51,340.997,,
786400,224.14,292.5,340.993,,
786300,224.02,292.49,340.99,,
786200,223.9,292.48,340.987,,
786100,223.78,292.48,340.983,,
786000,223.66,292.47,340.98,,
785900,223.54,292.46,340.976,,
785800,223.38,292.45,340.976,,
785700,223.22,292.44,340.977,,
785600,223.06,292.44,340.977,,
785500,222.9,292.43,340.978,,
785400,222.74,292.42,340.978,,
785300,222.58,292.41,340.978,,
785200,222.41,292.41,340.979,,
785100,222.25,292.4,340.979,,
785000,222.09,292.39,340.979,,
784900,221.93,292.38,340.98,,
784800,221.73,292.37,340.98,,
784700,221.53,292.36,340.981,,
784600,221.33,292.35,340.981,,
784500,221.13,292.35,340.982,,
784400,220.93,292.34,340.982,,
784300,220.73,292.33,340.982,,
784200,220.53,292.32,340.983,,
784100,220.33,292.31,340.983,,
784000,220.13,292.3,340.984,,
783900,219.93,292.29,340.984,,
783800,219.71,292.28,340.984,,
783700,219.49,292.27,340.984,,
783600,219.27,292.25,340.984,,
783500,219.04,292.24,340.984,,
783400,218.82,292.23,340.985,,
783300,218.6,292.22,340.985,,
783200,218.38,292.21,340.985,,
783100,218.16,292.2,340.985,,
783000,217.94,292.19,340.985,,
782900,217.71,292.18,340.985,,
782800,217.5,292.16,340.982,,
782700,217.29,292.15,340.979,,
782600,217.08,292.13,340.977,,
782500,216.87,292.11,340.974,,
782400,216.66,292.1,340.971,,
782300,216.45,292.08,340.968,,
782200,216.24,292.07,340.966,,
782100,216.03,292.05,340.963,,
782000,215.82,292.04,340.96,,
781900,215.61,292.02,340.957,,
781800,215.42,292.01,340.956,,
781700,215.22,291.99,340.955,,
781600,215.02,291.98,340.953,,
781500,214.82,291.96,340.952,,
781400,214.63,291.95,340.951,,
781300,214.43,291.93,340.95,,
781200,214.23,291.91,340.949,,
781100,214.03,291.9,340.947,,
781000,213.83,291.88,340.946,,
780900,213.64,291.87,340.945,,
780800,213.48,291.85,340.945,,
780700,213.33,291.84,340.945,,
780600,213.17,291.82,340.945,,
780500,213.02,291.81,340.946,,
780400,212.86,291.79,340.946,,
780300,212.7,291.78,340.946,,
780200,212.55,291.76,340.946,,
780100,212.39,291.75,340.947,,
780000,212.24,291.73,340.947,,
779900,212.08,291.72,340.947,,
779800,211.99,291.7,340.943,,
779700,211.89,291.68,340.939,,
779600,211.8,291.66,340.935,,
779500,211.7,291.64,340.931,,
779400,211.61,291.62,340.927,,
779300,211.51,291.6,340.923,,
779200,211.42,291.58,340.918,,
779100,211.32,291.56,340.914,,
779000,211.23,291.54,340.91,,
778900,211.13,291.52,340.906,,
778800,211.08,291.51,340.904,,
778700,211.03,291.49,340.902,,
778600,210.98,291.47,340.899,,
778500,210.93,291.45,340.897,,
778400,210.88,291.43,340.895,,
778300,210.83,291.41,340.893,,
778200,210.78,291.4,340.89,,
778100,210.73,291.38,340.888,,
778000,210.68,291.36,340.886,,
777900,210.63,291.34,340.884,,
777800,210.63,291.32,340.882,,
777700,210.64,291.31,340.88,,
777600,210.64,291.29,340.878,,
777500,210.65,291.27,340.877,,
777400,210.65,291.25,340.875,,
777300,210.65,291.23,340.873,,
777200,210.66,291.21,340.871,,
777100,210.66,291.19,340.87,,
777000,210.67,291.18,340.868,,
776900,210.67,291.16,340.866,,
776800,210.73,291.14,340.864,,
776700,210.79,291.12,340.862,,
776600,210.85,291.1,340.86,,
776500,210.91,291.08,340.859,,
776400,210.97,291.07,340.857,,
776300,211.03,291.05,340.855,,
776200,211.09,291.03,340.853,,
776100,211.15,291.01,340.851,,
776000,211.22,290.99,340.849,,
775900,211.28,290.97,340.848,,
775800,211.37,290.95,340.846,,
775700,211.47,290.94,340.844,,
775600,211.57,290.92,340.842,,
775500,211.67,290.9,340.841,,
775400,211.77,290.88,340.839,,
775300,211.87,290.86,340.837,,
775200,211.97,290.85,340.835,,
