Supereon,Eon,Era,Period,Epoch,Age,Start_million_years_ago,End_million_years_ago,Start_elapsed_time_million_years,End_elapsed_time_million_years,back_colour,text_colour,Major_events
,Phanerozoic,Cenozoic,Quaternary,Anthropocene,Anthropocene,0.00007,0,4600,4600.00007,fff69a,black,
,Phanerozoic,Cenozoic,Quaternary,Holocene,Meghalayan,0.0042,0.00007,4599.9958,4600,fff79a,black,"4.2 kiloyear event, Little Ice Age, increasing industrial CO2."
,Phanerozoic,Cenozoic,Quaternary,Holocene,Northgrippian,0.0082,0.0042,4599.9918,4599.9958,fff79a,black,"8.2 kiloyear event, Holocene climatic optimum. Bronze Age."
,Phanerozoic,Cenozoic,Quaternary,Holocene,Greenlandian,0.0117,0.0082,4599.9883,4599.9918,fff79a,black,Current interglacial begins. Sea level flooding of Doggerland and Sundaland. Sahara desert forms. Neolithic agriculture.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Late ('Tarantian'),0.126,0.0117,4599.874,4599.9883,fffce9,black,"Eemian interglacial, Last glacial period, ending with Younger Dryas. Toba eruption. Megafauna extinction."
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,"Middle ('Ionian', 'Chibanian')",0.781,0.126,4599.219,4599.874,fffcd6,black,High amplitude 100 ka glacial cycles. Rise of Homo sapiens.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Calabrian,1.8,0.781,4598.2,4599.219,fffac2,black,Further cooling of the climate. Spread of Homo erectus.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Gelasian,2.58,1.8,4597.42,4598.2,ffecce,black,Start of Quaternary glaciations. Rise of the Pleistocene megafauna and Homo habilis.
,Phanerozoic,Cenozoic,Neogene,Pliocene,Piacenzian,3.6,2.58,4596.4,4597.42,ffdca2,black,Greenland ice sheet develops. Australopithecus common in East Africa.
,Phanerozoic,Cenozoic,Neogene,Pliocene,Zanclean,5.333,3.6,4594.667,4596.4,fece7a,black,Zanclean flooding of the Mediterranean Basin. Cooling climate. Ardipithecus in Africa.
,Phanerozoic,Cenozoic,Neogene,Miocene,Messinian,7.246,5.333,4592.754,4594.667,faf2e7,black,"Messinian Event with hypersaline lakes in empty Mediterranean Basin. Moderate Icehouse climate, punctuated by ice ages and re-establishment of East Antarctic Ice Sheet; Gradual separation of human and chimpanzee ancestors. Sahelanthropus tchadensis in Africa."
,Phanerozoic,Cenozoic,Neogene,Miocene,Tortonian,11.63,7.246,4588.37,4592.754,f5e9d3,black,
,Phanerozoic,Cenozoic,Neogene,Miocene,Serravallian,13.82,11.63,4586.18,4588.37,f3e0c2,black,Warmer during middle Miocene climate optimum. Extinctions in middle Miocene disruption.
,Phanerozoic,Cenozoic,Neogene,Miocene,Langhian,15.97,13.82,4584.03,4586.18,f0d9b0,black,
