,monarchTitle,eventDescription,reignStartYear,reignStartMonth,reignStartDay,reignEndYear,reignEndMonth,reignEndDay,country,house,birthYear,birthMonth,birthDay,deathYear,deathMonth,deathDay,reference,era,houseColours
1,Alfred the Great,,886,1,1,899,10,26,England,Wessex,NA,NA,NA,899,10,26,https://en.wikipedia.org/wiki/Alfred_the_Great,CE,blue
2,Edward the Elder,,899,10,26,924,7,17,England,Wessex,874,NA,NA,924,7,17,https://en.wikipedia.org/wiki/Edward_the_Elder,CE,blue
3,Ælfweard,,924,7,17,924,8,2,England,Wessex,901,NA,NA,924,8,2,https://en.wikipedia.org/wiki/%C3%86lfweard_of_Wessex,CE,blue
4,Æthelstan,,924,8,2,939,10,27,England,Wessex,894,NA,NA,939,10,27,https://en.wikipedia.org/wiki/%C3%86thelstan,CE,blue
5,Edmund I,,939,10,27,946,5,26,England,Wessex,921,NA,NA,946,5,26,https://en.wikipedia.org/wiki/Edmund_I,CE,blue
6,Eadred,,946,5,26,955,11,23,England,Wessex,923,NA,NA,955,11,23,https://en.wikipedia.org/wiki/Eadred,CE,blue
7,Eadwig,,955,11,23,959,10,1,England,Wessex,940,NA,NA,959,10,1,https://en.wikipedia.org/wiki/Eadwig,CE,blue
8,Edgar the Peaceful,,959,10,1,975,7,8,England,Wessex,943,NA,NA,975,7,8,https://en.wikipedia.org/wiki/Edgar_the_Peaceful,CE,blue
9,Edward the Martyr,,975,7,8,978,3,18,England,Wessex,962,NA,NA,978,3,18,https://en.wikipedia.org/wiki/Edward_the_Martyr,CE,blue
10,Æthelred,"Aethelred the Unready, 1st reign",978,3,18,1013,12,24,England,Wessex,968,NA,NA,1016,4,23,https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,CE,blue
11,Sweyn,Sweyn Forkbeard,1013,12,25,1014,2,2,England,Denmark,960,NA,NA,1014,2,3,https://en.wikipedia.org/wiki/Sweyn_Forkbeard,CE,red
12,Æthelred,"Aethelred the Unready, 2nd reign",1014,2,3,1016,4,23,England,Wessex,968,NA,NA,1016,4,23,https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,CE,blue
13,Edmund Ironside,,1016,4,23,1016,11,30,England,Wessex,990,NA,NA,1016,11,30,https://en.wikipedia.org/wiki/Edmund_Ironside,CE,blue
14,Canute,Cnut the Great,1016,10,18,1035,11,12,England except Wessex,Denmark,995,NA,NA,1035,11,12,https://en.wikipedia.org/wiki/Cnut_the_Great,CE,red
15,Harold Harefoot,,1035,11,12,1040,3,17,England except Wessex,Denmark,1016,NA,NA,1040,3,17,https://en.wikipedia.org/wiki/Harold_Harefoot,CE,red
16,Harthacnut,,1040,3,17,1042,6,8,England except Wessex,Denmark,1018,NA,NA,1042,6,8,https://en.wikipedia.org/wiki/Harthacnut,CE,red
17,Edward the Confessor,,1042,6,8,1066,1,5,England,Wessex,1003,NA,NA,1066,1,5,https://en.wikipedia.org/wiki/Edward_the_Confessor,CE,blue
18,Harold Godwinson,,1066,1,6,1066,10,14,England,Godwinson,1022,NA,NA,1066,10,14,https://en.wikipedia.org/wiki/Harold_Godwinson,CE,magenta
19,Edgar Ætheling,Title disputed. The Normans controlled the country and Edgar never ruled. He submitted to King William the Conqueror.,1066,10,15,1066,12,17,England,Wessex,1051,NA,NA,1126,NA,NA,https://en.wikipedia.org/wiki/Edgar_%C3%86theling,CE,blue
20,William I,William the Conqueror,1066,12,25,1087,9,9,England,Normandy,1028,NA,NA,1087,9,9,https://en.wikipedia.org/wiki/William_the_Conqueror,CE,aquamarine
21,William II,William Rufus,1087,9,26,1100,8,2,England,Normandy,1056,NA,NA,1100,9,2,https://en.wikipedia.org/wiki/William_II_of_England,CE,aquamarine
22,Henry I,Henry Beauclerc,1100,8,5,1135,12,1,England,Normandy,1068,9,NA,1135,12,1,https://en.wikipedia.org/wiki/Henry_I_of_England,CE,aquamarine
23,Stephen,Stephen of Blois. Stephen invaded England in a coup d'etat.,1135,12,22,1154,10,25,England,Blois,1096,NA,NA,1154,10,25,"https://en.wikipedia.org/wiki/Stephen,_King_of_England",CE,purple
24,Matilda,Title disputed. Empress Matilda.,1141,4,7,1141,11,1,England,Blois,1102,2,7,1167,9,10,https://en.wikipedia.org/wiki/Empress_Matilda,CE,purple
25,Henry II,Henry Curtmantle,1154,12,19,1189,7,6,England,Anjou,1133,3,5,1189,7,6,https://en.wikipedia.org/wiki/Henry_II_of_England,CE,hotpink
26,Richard I,Richard the Lionheart,1189,9,3,1199,4,6,England,Anjou,1157,9,8,1199,4,6,https://en.wikipedia.org/wiki/Richard_I_of_England,CE,hotpink
