Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
0,276.01,175.57,230.66,306.39,342.75
0.5,275.73,196.68,239.86,311.4,346.5
1,287.21,209.77,250.86,311.94,339.55
1.5,290.03,221.13,259.7,312.23,334.89
2,295.99,231,265.29,314.39,336.49
2.5,298.02,238.67,267.89,317.59,341.08
3,299.35,243.23,269.25,322.59,343.98
3.5,302.99,242.17,269.93,329.05,351.1
4,298.33,240.52,269.4,334.42,359.48
4.5,300,238.24,268.39,339.29,366.87
5,302.58,236.17,267.35,344.64,374.11
5.5,316.98,234.96,265.92,349.27,382.47
6,319.11,230.51,264.79,352.16,389.22
6.5,320.22,229.42,264.48,356.24,392.79
7,321.3,229.85,262.78,358.05,398.45
7.5,323.48,225.39,259.13,360.2,402.46
8,307.94,222.63,256.58,361.04,403.73
8.5,307.34,218.28,252.87,360.7,407.34
9,305.75,213.85,250.52,360.32,408.87
9.5,303.88,211.49,247.61,359.37,409.15
10,301.66,210.36,246.87,359.98,408.27
10.5,299.4,210.07,247.5,359.55,408.82
11,302.28,213.12,248.12,358.64,406.04
11.5,304.17,216.76,250.18,357.74,405.96
12,302.62,218.66,253.19,359.47,403.92
12.5,301.76,218.92,254.92,359.25,402.91
13,302.03,220.25,259.38,358.25,407.52
13.5,302.88,224.08,262.02,359.12,410.74
14,306.53,229.68,265.13,357.06,407.54
14.5,306.58,234.08,269.04,355.88,409.54
15,311.09,237.06,269.7,357,414.47
15.5,308.28,229.11,267.68,358.3,421.87
16,309.27,224.53,266.08,363.11,430.22
16.5,311.35,219.77,265,368.76,438.44
17,314.57,220.26,265.1,374.53,444.82
17.5,317.72,220.05,266.66,380.59,452.06
18,318.43,220.17,266.01,388.6,459.7
18.5,322.31,217.01,266.03,397.34,468.46
19,329.95,214.4,269.86,404.83,478.57
19.5,338.28,213.94,274.43,414.46,490.45
20,347.04,217.49,279.95,422.64,498.66
20.5,353,228.16,288.7,429.83,506.49
21,357.73,237.63,298.33,437.29,510.98
