years_before_present,temp_anomaly_C,reference
-798000,-3.03,https://www.co2levels.org/#sources
-795000,-4.42,
-792000,-2.08,
-789000,-1.78,
-786000,-1.01,
-783000,-0.07,
-780000,0.47,
-777000,-0.76,
-774000,-1.4,
-771000,-1.29,
-768000,-1.54,
-765000,-0.93,
-762000,-1.94,
-759000,-3.25,
-756000,-3.31,
-753000,-1.92,
-750000,-1.72,
-747000,-1.83,
-744000,-0.55,
-741000,-1.09,
-738000,-0.48,
-735000,0.24,
-732000,-1.64,
-729000,-1.31,
-726000,-1.44,
-723000,-2.6,
-720000,-1.99,
-717000,-1.99,
-714000,-2.31,
-711000,-1.93,
-708000,0.11,
-705000,0.89,
-702000,1.55,
-699000,1.92,
-696000,0.93,
-693000,1.07,
-690000,0,
-687000,-1.63,
-684000,-0.16,
-681000,-1.54,
-678000,-3.04,
-675000,-2.1,
-672000,-2.06,
-669000,-3.23,
-666000,-2.04,
-663000,-2.18,
-660000,-3.05,
-657000,-2.86,
-654000,-3.18,
-651000,-3,
-648000,-3.28,
-645000,-3.17,
-642000,-2.91,
-639000,-2.92,
-636000,-2.53,
-633000,-3.04,
-630000,-2.79,
-627000,-0.81,
-624000,-0.42,
-621000,0.85,
-618000,1.47,
-615000,1.79,
-612000,1.53,
-609000,0.37,
-606000,0.29,
-603000,0.48,
-600000,-0.51,
-597000,-0.48,
-594000,0.66,
-591000,-0.12,
-588000,-0.26,
-585000,-0.68,
-582000,-0.72,
-579000,0.27,
-576000,0.85,
-573000,0.03,
-570000,-0.93,
-567000,-1.58,
-564000,-2.43,
-561000,-2.23,
-558000,-2.13,
-555000,-1.37,
-552000,-3.78,
-549000,-3.1,
-546000,-3.08,
-543000,-2.88,
-540000,-3.48,
-537000,-2.25,
-534000,-3.28,
-531000,-0.6,
-528000,0.06,
-525000,-0.16,
-522000,-0.27,
-519000,-0.37,
-516000,-0.54,
-513000,0,
-510000,-0.58,
-507000,0.4,
-504000,0.02,
-501000,0.41,
-498000,-0.02,
