monarchTitle,eventDescription,reignStartYear,reignStartMonth,reignStartDay,reignEndYear,reignEndMonth,reignEndDay,country,house,birthYear,birthMonth,birthDay,deathYear,deathMonth,deathDay,reference,era,yearsBeforePresent
Alfred the Great,,886,1,1,899,10,26,England,Wessex,,,,899,10,26,https://en.wikipedia.org/wiki/Alfred_the_Great,AD,
Edward the Elder,,899,10,26,924,7,17,England,Wessex,874,,,924,7,17,https://en.wikipedia.org/wiki/Edward_the_Elder,AD,
Ælfweard,,924,7,17,924,8,2,England,Wessex,901,,,924,8,2,https://en.wikipedia.org/wiki/%C3%86lfweard_of_Wessex,AD,
Æthelstan,,924,8,2,939,10,27,England,Wessex,894,,,939,10,27,https://en.wikipedia.org/wiki/%C3%86thelstan,AD,
Edmund I,,939,10,27,946,5,26,England,Wessex,921,,,946,5,26,https://en.wikipedia.org/wiki/Edmund_I,AD,
Eadred,,946,5,26,955,11,23,England,Wessex,923,,,955,11,23,https://en.wikipedia.org/wiki/Eadred,AD,
Eadwig,,955,11,23,959,10,1,England,Wessex,940,,,959,10,1,https://en.wikipedia.org/wiki/Eadwig,AD,
Edgar the Peaceful,,959,10,1,975,7,8,England,Wessex,943,,,975,7,8,https://en.wikipedia.org/wiki/Edgar_the_Peaceful,AD,
Edward the Martyr,,975,7,8,978,3,18,England,Wessex,962,,,978,3,18,https://en.wikipedia.org/wiki/Edward_the_Martyr,AD,
Æthelred,"Æthelred the Unready, 1st reign",978,3,18,1013,,,England,Wessex,968,,,1016,4,23,https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,AD,
Sweyn,Sweyn Forkbeard,1013,12,25,1014,2,3,England,Denmark,960,,,1014,2,3,https://en.wikipedia.org/wiki/Sweyn_Forkbeard,AD,
Æthelred,"Æthelred the Unready, 2nd reign",1014,2,3,1016,4,23,England,Wessex,968,,,1016,4,23,https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready,AD,
Edmund Ironside,,1016,4,23,1016,11,30,England,Wessex,990,,,1016,11,30,https://en.wikipedia.org/wiki/Edmund_Ironside,AD,
