"years_before_present","CO2_ppm","yearsElapsed"
798580,191,4599201420
797167,188.4,4599202833
796535,189.3,4599203465
795270,195.2,4599204730
794676,199.4,4599205324
793328,209,4599206672
793011,204,4599206989
792149,205.1,4599207851
791559,215.4,4599208441
790606,221.3,4599209394
790221,218.2,4599209779
789449,226.3,4599210551
788955,229.5,4599211045
788101,247.9,4599211899
787873,248.1,4599212127
787144,256.9,4599212856
786655,260.3,4599213345
785857,255.4,4599214143
785481,253.3,4599214519
784760,250.7,4599215240
784215,246.9,4599215785
783331,252.1,4599216669
782127,246.2,4599217873
781603,248.7,4599218397
780680,242.8,4599219320
780336,248.5,4599219664
779432,243.9,4599220568
778866,245.8,4599221134
777968,246.1,4599222032
777624,246.3,4599222376
776704,243.9,4599223296
776105,238.8,4599223895
775119,240.5,4599224881
774616,236.9,4599225384
773748,233.3,4599226252
773111,230,4599226889
772144,230.9,4599227856
771776,229.5,4599228224
771328,237.7,4599228672
771062,235.6,4599228938
770792,238.2,4599229208
770515,235.6,4599229485
770201,231.5,4599229799
769855,226,4599230145
769582,228.1,4599230418
769118,221.4,4599230882
768723,222.4,4599231277
767805,217.7,4599232195
767164,213.5,4599232836
766178,215.7,4599233822
765803,216.8,4599234197
764901,222.6,4599235099
764317,224.1,4599235683
764002,221.4,4599235998
763754,225.7,4599236246
763387,215,4599236613
762939,216,4599237061
762132,212,4599237868
761521,206.1,4599238479
760568,206.9,4599239432
760270,208.8,4599239730
759374,214.9,4599240626
758951,217.9,4599241049
758543,217.6,4599241457
758327,215.3,4599241673
758030,219.2,4599241970
757629,215,4599242371
756939,210.7,4599243061
756425,206,4599243575
755563,201.9,4599244437
755309,200.5,4599244691
754462,195.8,4599245538
754052,191.5,4599245948
753046,196.5,4599246954
752673,188,4599247327
751898,190.1,4599248102
751369,186.2,4599248631
750544,184,4599249456
750262,184.8,4599249738
749469,182.9,4599250531
748981,181.4,4599251019
748169,180.4,4599251831
747827,180.8,4599252173
747178,180.8,4599252822
746711,183.1,4599253289
745904,180.2,4599254096
744911,182,4599255089
744422,181.2,4599255578
743657,180.4,4599256343
743301,181.7,4599256699
742626,182.3,4599257374
742143,177.9,4599257857
741375,176.6,4599258625
741089,178.6,4599258911
740345,178.9,4599259655
739910,185,4599260090
739205,197.8,4599260795
738912,200.3,4599261088
738340,206.5,4599261660
737957,210.6,4599262043
737334,211.3,4599262666
737102,208.1,4599262898
736528,209.7,4599263472
736147,204.1,4599263853
735527,201.3,4599264473
735235,201.7,4599264765
734672,207.4,4599265328
734291,205.3,4599265709
733611,204.4,4599266389
733329,203.9,4599266671
732616,205.9,4599267384
732209,203.8,4599267791
731397,204.9,4599268603
731017,204.1,4599268983
730367,204,4599269633
728989,205.4,4599271011
728636,205.1,4599271364
727800,205.5,4599272200
727260,204.5,4599272740
726390,208.1,4599273610
726005,206.6,4599273995
725127,206.3,4599274873
724513,210.3,4599275487
723532,213.2,4599276468
723201,213.4,4599276799
722107,211.3,4599277893
721386,206.3,4599278614
720405,195.2,4599279595
719862,187.8,4599280138
718847,184.3,4599281153
718132,192.9,4599281868
717133,205,4599282867
716772,208.1,4599283228
715818,222.1,4599284182
715248,217.7,4599284752
714356,221.7,4599285644
713911,222.3,4599286089
712901,218.5,4599287099
711489,218.7,4599288511
711172,218.9,4599288828
710305,220.2,4599289695
709748,219.7,4599290252
706477,228.1,4599293523
706209,228.6,4599293791
705478,228.5,4599294522
705041,233.9,4599294959
704279,231.2,4599295721
704002,231.2,4599295998
703452,232.8,4599296548
703056,232.4,4599296944
702449,230.3,4599297551
702226,229.3,4599297774
701674,228.8,4599298326
701310,228.2,4599298690
700812,227.6,4599299188
700457,228.7,4599299543
699977,226,4599300023
699701,227.6,4599300299
699170,227.7,4599300830
698948,226.4,4599301052
698454,228,4599301546
698188,231,4599301812
697728,232.2,4599302272
697399,232.4,4599302601
697031,232.9,4599302969
696785,235.4,4599303215
696355,234.8,4599303645
696130,234.6,4599303870
695686,237.6,4599304314
695451,236.7,4599304549
695009,236.9,4599304991
694740,235.8,4599305260
694368,234.4,4599305632
694136,235.4,4599305864
693707,234.1,4599306293
693501,234.1,4599306499
693058,234.8,4599306942
692833,232.9,4599307167
692406,235.9,4599307594
692125,235.5,4599307875
691740,236.6,4599308260
691500,235.6,4599308500
691067,234,4599308933
690839,240,4599309161
690362,234.8,4599309638
690125,235.6,4599309875
689671,239.9,4599310329
689372,235.8,4599310628
688949,234.9,4599311051
688720,235.8,4599311280
688263,233,4599311737
688017,232.3,4599311983
687538,228.8,4599312462
687295,228.7,4599312705
686794,227.3,4599313206
686493,224.3,4599313507
686048,224.4,4599313952
685784,223.5,4599314216
685285,219.7,4599314715
685017,219.5,4599314983
684487,219.4,4599315513
684210,217.5,4599315790
683680,217.5,4599316320
683330,218.7,4599316670
682830,221.3,4599317170
682514,222.6,4599317486
681917,219.7,4599318083
681599,217.3,4599318401
680988,216.2,4599319012
680676,218.4,4599319324
680149,225,4599319851
679800,223,4599320200
679320,230.3,4599320680
678982,230.8,4599321018
678359,230,4599321641
678052,226.5,4599321948
677448,217.4,4599322552
677136,215.6,4599322864
676592,214,4599323408
676238,217.4,4599323762
675657,220,4599324343
674589,213.7,4599325411
674241,209.2,4599325759
673543,202.3,4599326457
673163,198.7,4599326837
672454,194.8,4599327546
671994,192.5,4599328006
