"Time_ka","Benthic_d18O_per.mil","Standard_error_per.mil","yearsElapsed"
0,3.23,0.03,4.6e+09
1,3.23,0.04,4599999000
2,3.18,0.03,4599998000
3,3.29,0.03,4599997000
4,3.3,0.03,4599996000
5,3.26,0.03,4599995000
6,3.33,0.04,4599994000
7,3.37,0.04,4599993000
8,3.42,0.03,4599992000
9,3.38,0.04,4599991000
10,3.52,0.04,4599990000
11,3.6,0.04,4599989000
12,3.92,0.05,4599988000
13,4.06,0.04,4599987000
14,4.28,0.03,4599986000
15,4.49,0.04,4599985000
16,4.75,0.03,4599984000
17,4.88,0.04,4599983000
18,5.02,0.03,4599982000
19,4.96,0.03,4599981000
20,4.99,0.04,4599980000
21,4.91,0.03,4599979000
22,4.88,0.03,4599978000
23,4.86,0.03,4599977000
24,4.81,0.04,4599976000
25,4.82,0.02,4599975000
26,4.67,0.04,4599974000
27,4.75,0.04,4599973000
28,4.75,0.03,4599972000
29,4.73,0.03,4599971000
30,4.62,0.04,4599970000
31,4.62,0.03,4599969000
32,4.6,0.03,4599968000
33,4.58,0.03,4599967000
34,4.59,0.03,4599966000
35,4.54,0.02,4599965000
36,4.45,0.03,4599964000
37,4.46,0.03,4599963000
38,4.41,0.03,4599962000
39,4.55,0.03,4599961000
40,4.55,0.03,4599960000
41,4.51,0.05,4599959000
42,4.5,0.03,4599958000
43,4.46,0.04,4599957000
44,4.48,0.03,4599956000
45,4.33,0.04,4599955000
46,4.36,0.05,4599954000
47,4.38,0.04,4599953000
48,4.45,0.04,4599952000
49,4.46,0.03,4599951000
50,4.34,0.04,4599950000
51,4.33,0.05,4599949000
52,4.31,0.04,4599948000
53,4.44,0.03,4599947000
54,4.38,0.04,4599946000
55,4.31,0.03,4599945000
56,4.35,0.04,4599944000
57,4.43,0.04,4599943000
58,4.49,0.06,4599942000
59,4.43,0.04,4599941000
60,4.6,0.04,4599940000
61,4.51,0.05,4599939000
62,4.6,0.04,4599938000
63,4.53,0.04,4599937000
64,4.36,0.06,4599936000
65,4.48,0.05,4599935000
66,4.57,0.04,4599934000
67,4.44,0.05,4599933000
68,4.42,0.06,4599932000
69,4.47,0.05,4599931000
70,4.32,0.04,4599930000
71,4.22,0.05,4599929000
72,4.21,0.04,4599928000
73,4.23,0.04,4599927000
74,4.03,0.04,4599926000
75,3.95,0.04,4599925000
76,4.06,0.04,4599924000
77,4.08,0.05,4599923000
78,4.05,0.03,4599922000
79,4.05,0.05,4599921000
80,3.9,0.04,4599920000
81,3.82,0.04,4599919000
82,3.8,0.04,4599918000
83,3.83,0.04,4599917000
84,3.82,0.04,4599916000
85,3.95,0.06,4599915000
86,4.06,0.05,4599914000
87,4.18,0.05,4599913000
88,4.11,0.05,4599912000
89,4.08,0.04,4599911000
90,4.06,0.05,4599910000
91,4.03,0.04,4599909000
92,3.98,0.04,4599908000
93,3.9,0.03,4599907000
94,3.84,0.04,4599906000
95,3.77,0.05,4599905000
96,3.75,0.03,4599904000
97,3.83,0.04,4599903000
98,3.9,0.04,4599902000
99,3.78,0.06,4599901000
100,3.81,0.06,4599900000
101,3.92,0.05,4599899000
102,3.86,0.05,4599898000
103,3.88,0.04,4599897000
104,3.92,0.05,4599896000
105,3.85,0.06,4599895000
106,4,0.04,4599894000
107,4.04,0.05,4599893000
108,4.11,0.04,4599892000
109,4.12,0.05,4599891000
110,4.04,0.05,4599890000
111,4.02,0.05,4599889000
112,4.03,0.04,4599888000
113,3.93,0.05,4599887000
114,3.81,0.05,4599886000
115,3.71,0.04,4599885000
116,3.58,0.04,4599884000
117,3.54,0.05,4599883000
118,3.44,0.06,4599882000
119,3.3,0.03,4599881000
120,3.27,0.04,4599880000
121,3.26,0.04,4599879000
122,3.18,0.03,4599878000
123,3.1,0.05,4599877000
124,3.27,0.04,4599876000
125,3.14,0.06,4599875000
126,3.16,0.04,4599874000
127,3.37,0.05,4599873000
128,3.71,0.07,4599872000
129,3.9,0.08,4599871000
130,3.67,0.09,4599870000
131,3.81,0.09,4599869000
132,4.2,0.06,4599868000
133,4.41,0.05,4599867000
134,4.7,0.05,4599866000
135,4.86,0.04,4599865000
136,4.82,0.05,4599864000
137,4.8,0.05,4599863000
138,4.89,0.04,4599862000
139,4.87,0.05,4599861000
140,4.98,0.05,4599860000
141,4.81,0.05,4599859000
142,4.75,0.06,4599858000
143,4.78,0.05,4599857000
144,4.82,0.05,4599856000
145,4.74,0.05,4599855000
146,4.77,0.05,4599854000
147,4.82,0.05,4599853000
148,4.71,0.05,4599852000
149,4.75,0.04,4599851000
150,4.75,0.06,4599850000
151,4.66,0.06,4599849000
152,4.64,0.05,4599848000
153,4.62,0.04,4599847000
154,4.66,0.04,4599846000
155,4.51,0.04,4599845000
156,4.78,0.04,4599844000
157,4.74,0.04,4599843000
158,4.69,0.03,4599842000
159,4.66,0.05,4599841000
160,4.69,0.05,4599840000
161,4.65,0.04,4599839000
162,4.66,0.05,4599838000
163,4.7,0.06,4599837000
164,4.68,0.05,4599836000
165,4.68,0.05,4599835000
166,4.48,0.04,4599834000
167,4.41,0.06,4599833000
168,4.48,0.04,4599832000
169,4.5,0.04,4599831000
170,4.5,0.03,4599830000
171,4.53,0.04,4599829000
172,4.46,0.03,4599828000
173,4.38,0.03,4599827000
174,4.28,0.04,4599826000
175,4.32,0.05,4599825000
176,4.39,0.04,4599824000
177,4.46,0.04,4599823000
178,4.44,0.03,4599822000
179,4.48,0.05,4599821000
180,4.39,0.06,4599820000
181,4.46,0.03,4599819000
182,4.48,0.05,4599818000
183,4.37,0.04,4599817000
184,4.4,0.06,4599816000
185,4.59,0.06,4599815000
186,4.47,0.04,4599814000
187,4.4,0.05,4599813000
188,4.46,0.05,4599812000
189,4.39,0.04,4599811000
190,4.28,0.05,4599810000
191,4.13,0.05,4599809000
192,3.76,0.05,4599808000
193,3.92,0.05,4599807000
194,3.84,0.07,4599806000
195,3.91,0.05,4599805000
196,3.82,0.04,4599804000
197,3.74,0.06,4599803000
198,3.82,0.04,4599802000
199,3.57,0.05,4599801000
200,3.53,0.07,4599800000
201,3.53,0.03,4599799000
202,3.63,0.06,4599798000
203,3.61,0.07,4599797000
204,3.78,0.05,4599796000
205,3.82,0.06,4599795000
206,3.77,0.07,4599794000
207,3.78,0.08,4599793000
208,3.71,0.07,4599792000
209,3.64,0.06,4599791000
210,3.57,0.07,4599790000
211,3.6,0.06,4599789000
212,3.61,0.06,4599788000
213,3.65,0.06,4599787000
214,3.56,0.07,4599786000
215,3.54,0.05,4599785000
216,3.53,0.04,4599784000
217,3.48,0.09,4599783000
218,3.72,0.05,4599782000
219,3.94,0.05,4599781000
220,3.98,0.06,4599780000
221,4.23,0.06,4599779000
222,4.38,0.09,4599778000
223,4.44,0.07,4599777000
224,4.39,0.07,4599776000
225,4.28,0.06,4599775000
226,4.29,0.05,4599774000
227,4.19,0.05,4599773000
228,4.19,0.12,4599772000
229,4.02,0.08,4599771000
230,4.3,0.06,4599770000
231,4.22,0.07,4599769000
232,4.17,0.07,4599768000
233,3.97,0.06,4599767000
234,3.84,0.05,4599766000
235,3.71,0.06,4599765000
236,3.66,0.05,4599764000
237,3.47,0.04,4599763000
238,3.51,0.06,4599762000
239,3.44,0.04,4599761000
240,3.44,0.06,4599760000
241,3.54,0.08,4599759000
242,3.68,0.06,4599758000
243,3.78,0.08,4599757000
244,4.05,0.06,4599756000
245,4.17,0.06,4599755000
246,4.38,0.05,4599754000
247,4.31,0.04,4599753000
248,4.38,0.07,4599752000
249,4.36,0.05,4599751000
250,4.5,0.05,4599750000
251,4.58,0.04,4599749000
252,4.63,0.04,4599748000
253,4.52,0.06,4599747000
254,4.57,0.04,4599746000
255,4.37,0.05,4599745000
256,4.43,0.06,4599744000
257,4.55,0.05,4599743000
258,4.51,0.05,4599742000
259,4.52,0.04,4599741000
260,4.46,0.06,4599740000
261,4.52,0.03,4599739000
262,4.45,0.05,4599738000
263,4.46,0.05,4599737000
264,4.42,0.04,4599736000
265,4.44,0.05,4599735000
266,4.5,0.05,4599734000
267,4.5,0.05,4599733000
268,4.33,0.06,4599732000
269,4.52,0.06,4599731000
270,4.51,0.06,4599730000
271,4.5,0.05,4599729000
272,4.44,0.06,4599728000
273,4.44,0.03,4599727000
274,4.38,0.04,4599726000
275,4.38,0.05,4599725000
276,4.3,0.06,4599724000
277,4.44,0.05,4599723000
278,4.31,0.05,4599722000
279,4.23,0.07,4599721000
280,4.14,0.05,4599720000
281,4.21,0.04,4599719000
282,3.98,0.05,4599718000
283,3.87,0.06,4599717000
284,3.86,0.04,4599716000
285,3.84,0.04,4599715000
286,3.82,0.05,4599714000
287,3.89,0.04,4599713000
288,4.02,0.06,4599712000
289,4.06,0.05,4599711000
290,4.1,0.06,4599710000
291,4.11,0.04,4599709000
292,4.27,0.07,4599708000
293,4.22,0.06,4599707000
294,4.33,0.05,4599706000
295,4.31,0.03,4599705000
296,4.23,0.04,4599704000
297,4.3,0.06,4599703000
298,4.17,0.04,4599702000
299,4.23,0.04,4599701000
300,4.02,0.07,4599700000
301,4.06,0.07,4599699000
302,4.06,0.07,4599698000
303,4,0.06,4599697000
304,4.07,0.04,4599696000
305,4.07,0.07,4599695000
306,4.05,0.06,4599694000
307,4,0.04,4599693000
308,3.85,0.04,4599692000
309,3.86,0.06,4599691000
310,3.8,0.06,4599690000
311,3.7,0.04,4599689000
312,3.79,0.05,4599688000
313,3.69,0.06,4599687000
314,3.77,0.06,4599686000
315,3.62,0.06,4599685000
316,3.69,0.07,4599684000
317,3.89,0.05,4599683000
318,3.76,0.04,4599682000
319,3.58,0.05,4599681000
320,3.66,0.05,4599680000
321,3.53,0.05,4599679000
322,3.53,0.05,4599678000
323,3.47,0.05,4599677000
324,3.21,0.05,4599676000
325,3.31,0.04,4599675000
326,3.23,0.04,4599674000
327,3.22,0.04,4599673000
328,3.23,0.05,4599672000
329,3.19,0.04,4599671000
330,3.3,0.04,4599670000
331,3.29,0.06,4599669000
332,3.39,0.08,4599668000
333,3.38,0.07,4599667000
334,3.51,0.08,4599666000
335,3.75,0.08,4599665000
336,4.08,0.08,4599664000
337,4.23,0.08,4599663000
338,4.17,0.07,4599662000
339,4.42,0.07,4599661000
340,4.6,0.06,4599660000
341,4.84,0.06,4599659000
342,4.83,0.05,4599658000
343,4.8,0.07,4599657000
344,4.76,0.07,4599656000
345,4.79,0.05,4599655000
346,4.68,0.06,4599654000
347,4.53,0.07,4599653000
348,4.49,0.1,4599652000
349,4.62,0.04,4599651000
350,4.67,0.05,4599650000
351,4.64,0.05,4599649000
352,4.47,0.09,4599648000
353,4.47,0.05,4599647000
354,4.4,0.06,4599646000
355,4.59,0.04,4599645000
356,4.46,0.07,4599644000
357,4.55,0.07,4599643000
358,4.58,0.04,4599642000
359,4.49,0.08,4599641000
360,4.54,0.04,4599640000
361,4.5,0.06,4599639000
362,4.5,0.04,4599638000
363,4.53,0.05,4599637000
364,4.36,0.04,4599636000
365,4.46,0.05,4599635000
366,4.32,0.06,4599634000
367,4.37,0.04,4599633000
368,4.4,0.05,4599632000
369,4.38,0.04,4599631000
370,4.36,0.05,4599630000
371,4.27,0.05,4599629000
372,4.42,0.04,4599628000
373,4.29,0.07,4599627000
374,4.34,0.06,4599626000
375,4.2,0.05,4599625000
376,4.21,0.05,4599624000
377,4.2,0.04,4599623000
378,4.19,0.03,4599622000
379,4.17,0.05,4599621000
380,4.19,0.05,4599620000
381,4.15,0.03,4599619000
382,4.05,0.06,4599618000
383,4.12,0.03,4599617000
384,4.08,0.05,4599616000
385,4.14,0.03,4599615000
386,4.02,0.07,4599614000
387,3.99,0.04,4599613000
388,3.92,0.04,4599612000
389,3.89,0.04,4599611000
390,3.96,0.06,4599610000
391,4,0.05,4599609000
392,3.97,0.03,4599608000
393,3.86,0.05,4599607000
394,3.92,0.05,4599606000
395,3.76,0.05,4599605000
396,3.72,0.04,4599604000
397,3.47,0.09,4599603000
398,3.54,0.04,4599602000
399,3.48,0.06,4599601000
400,3.32,0.04,4599600000
401,3.2,0.05,4599599000
402,3.17,0.05,4599598000
403,3.15,0.04,4599597000
404,3.2,0.05,4599596000
405,3.11,0.04,4599595000
406,3.19,0.04,4599594000
407,3.21,0.05,4599593000
408,3.17,0.06,4599592000
409,3.22,0.06,4599591000
410,3.15,0.06,4599590000
411,3.29,0.05,4599589000
412,3.31,0.04,4599588000
413,3.38,0.03,4599587000
414,3.41,0.04,4599586000
415,3.41,0.05,4599585000
416,3.51,0.06,4599584000
417,3.57,0.05,4599583000
418,3.75,0.05,4599582000
419,3.81,0.03,4599581000
420,3.77,0.06,4599580000
421,3.85,0.07,4599579000
422,3.94,0.05,4599578000
423,4.02,0.07,4599577000
424,3.92,0.07,4599576000
425,4.3,0.14,4599575000
426,4.5,0.07,4599574000
427,4.3,0.1,4599573000
428,4.72,0.06,4599572000
429,4.91,0.07,4599571000
430,4.98,0.07,4599570000
431,5.05,0.05,4599569000
432,5.05,0.08,4599568000
433,5.08,0.05,4599567000
434,5.08,0.05,4599566000
435,5.02,0.1,4599565000
436,5.07,0.04,4599564000
437,4.9,0.08,4599563000
438,4.79,0.1,4599562000
439,4.87,0.06,4599561000
440,4.76,0.09,4599560000
441,4.95,0.07,4599559000
442,4.96,0.05,4599558000
443,4.91,0.04,4599557000
444,4.82,0.07,4599556000
445,4.91,0.05,4599555000
446,4.82,0.05,4599554000
447,4.51,0.08,4599553000
448,4.77,0.06,4599552000
449,4.73,0.06,4599551000
450,4.75,0.06,4599550000
451,4.58,0.06,4599549000
452,4.73,0.05,4599548000
453,4.56,0.09,4599547000
454,4.6,0.04,4599546000
455,4.41,0.09,4599545000
456,4.62,0.05,4599544000
457,4.63,0.08,4599543000
458,4.55,0.05,4599542000
459,4.63,0.06,4599541000
460,4.56,0.07,4599540000
461,4.59,0.04,4599539000
462,4.61,0.05,4599538000
463,4.61,0.05,4599537000
464,4.44,0.05,4599536000
465,4.57,0.04,4599535000
