"yearsBP","annual65N","annualGlobal","globalCosWeighted","Title","Source","yearsElapsed"
799900,210.87,291.18,340.953,"Milankovitch radiation for different latitudes and time periods","http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/",4599200100
799800,210.82,291.2,340.955,"","The copyright to the intellectual property of this file is held by www.climatedata.info",4599200200
799700,210.77,291.22,340.957,"","",4599200300
799600,210.71,291.24,340.958,"","",4599200400
799500,210.66,291.25,340.96,"","",4599200500
799400,210.61,291.27,340.962,"","",4599200600
799300,210.56,291.29,340.963,"","",4599200700
799200,210.51,291.31,340.965,"","",4599200800
799100,210.45,291.33,340.967,"","",4599200900
799000,210.4,291.35,340.969,"","",4599201000
798900,210.35,291.37,340.97,"","",4599201100
798800,210.36,291.39,340.972,"","",4599201200
798700,210.37,291.41,340.975,"","",4599201300
798600,210.38,291.43,340.977,"","",4599201400
798500,210.39,291.45,340.979,"","",4599201500
798400,210.4,291.47,340.981,"","",4599201600
798300,210.41,291.49,340.983,"","",4599201700
798200,210.42,291.51,340.986,"","",4599201800
798100,210.43,291.53,340.988,"","",4599201900
798000,210.44,291.55,340.99,"","",4599202000
797900,210.45,291.57,340.992,"","",4599202100
797800,210.52,291.59,340.992,"","",4599202200
797700,210.59,291.61,340.993,"","",4599202300
797600,210.66,291.62,340.993,"","",4599202400
797500,210.73,291.64,340.993,"","",4599202500
797400,210.8,291.66,340.993,"","",4599202600
797300,210.87,291.68,340.994,"","",4599202700
797200,210.94,291.7,340.994,"","",4599202800
797100,211.01,291.71,340.994,"","",4599202900
797000,211.08,291.73,340.994,"","",4599203000
796900,211.15,291.75,340.995,"","",4599203100
796800,211.28,291.77,340.992,"","",4599203200
796700,211.41,291.78,340.99,"","",4599203300
796600,211.54,291.79,340.988,"","",4599203400
796500,211.66,291.81,340.985,"","",4599203500
796400,211.79,291.82,340.983,"","",4599203600
796300,211.92,291.84,340.981,"","",4599203700
796200,212.04,291.85,340.978,"","",4599203800
796100,212.17,291.87,340.976,"","",4599203900
796000,212.3,291.88,340.974,"","",4599204000
795900,212.43,291.9,340.971,"","",4599204100
795800,212.61,291.91,340.973,"","",4599204200
795700,212.8,291.93,340.975,"","",4599204300
795600,212.98,291.95,340.977,"","",4599204400
795500,213.17,291.96,340.979,"","",4599204500
795400,213.35,291.98,340.981,"","",4599204600
795300,213.54,292,340.983,"","",4599204700
795200,213.73,292.01,340.985,"","",4599204800
795100,213.91,292.03,340.987,"","",4599204900
795000,214.1,292.05,340.989,"","",4599205000
794900,214.28,292.06,340.991,"","",4599205100
794800,214.49,292.08,340.992,"","",4599205200
794700,214.7,292.09,340.993,"","",4599205300
794600,214.91,292.11,340.995,"","",4599205400
794500,215.11,292.12,340.996,"","",4599205500
794400,215.32,292.14,340.997,"","",4599205600
794300,215.53,292.15,340.998,"","",4599205700
794200,215.74,292.16,340.999,"","",4599205800
794100,215.95,292.18,341.001,"","",4599205900
794000,216.15,292.19,341.002,"","",4599206000
793900,216.36,292.21,341.003,"","",4599206100
793800,216.59,292.22,341.004,"","",4599206200
793700,216.81,292.23,341.004,"","",4599206300
793600,217.03,292.24,341.005,"","",4599206400
793500,217.26,292.25,341.006,"","",4599206500
793400,217.48,292.27,341.006,"","",4599206600
793300,217.7,292.28,341.007,"","",4599206700
793200,217.93,292.29,341.007,"","",4599206800
793100,218.15,292.3,341.008,"","",4599206900
793000,218.38,292.31,341.009,"","",4599207000
792900,218.6,292.32,341.009,"","",4599207100
792800,218.83,292.33,341.01,"","",4599207200
792700,219.05,292.35,341.01,"","",4599207300
792600,219.28,292.36,341.011,"","",4599207400
792500,219.5,292.37,341.011,"","",4599207500
792400,219.73,292.38,341.012,"","",4599207600
792300,219.96,292.39,341.012,"","",4599207700
792200,220.18,292.4,341.013,"","",4599207800
792100,220.41,292.41,341.013,"","",4599207900
792000,220.64,292.42,341.014,"","",4599208000
791900,220.86,292.43,341.014,"","",4599208100
791800,221.05,292.44,341.015,"","",4599208200
791700,221.24,292.45,341.016,"","",4599208300
791600,221.44,292.46,341.018,"","",4599208400
791500,221.63,292.47,341.019,"","",4599208500
791400,221.82,292.48,341.02,"","",4599208600
791300,222.01,292.49,341.021,"","",4599208700
791200,222.2,292.49,341.022,"","",4599208800
791100,222.39,292.5,341.023,"","",4599208900
791000,222.59,292.51,341.024,"","",4599209000
790900,222.78,292.52,341.026,"","",4599209100
790800,222.92,292.52,341.022,"","",4599209200
790700,223.06,292.53,341.019,"","",4599209300
790600,223.2,292.53,341.016,"","",4599209400
790500,223.34,292.53,341.013,"","",4599209500
790400,223.48,292.53,341.01,"","",4599209600
790300,223.63,292.53,341.006,"","",4599209700
790200,223.77,292.53,341.003,"","",4599209800
790100,223.91,292.54,341,"","",4599209900
790000,224.05,292.54,340.997,"","",4599210000
789900,224.19,292.54,340.993,"","",4599210100
789800,224.28,292.55,340.997,"","",4599210200
789700,224.36,292.55,341.001,"","",4599210300
789600,224.44,292.56,341.005,"","",4599210400
789500,224.53,292.56,341.009,"","",4599210500
789400,224.61,292.57,341.013,"","",4599210600
789300,224.7,292.57,341.018,"","",4599210700
789200,224.78,292.58,341.022,"","",4599210800
789100,224.87,292.58,341.026,"","",4599210900
789000,224.95,292.59,341.03,"","",4599211000
788900,225.04,292.59,341.034,"","",4599211100
788800,225.06,292.59,341.031,"","",4599211200
788700,225.07,292.59,341.029,"","",4599211300
788600,225.09,292.59,341.027,"","",4599211400
788500,225.11,292.58,341.025,"","",4599211500
788400,225.13,292.58,341.023,"","",4599211600
788300,225.15,292.58,341.021,"","",4599211700
788200,225.17,292.58,341.019,"","",4599211800
788100,225.18,292.57,341.016,"","",4599211900
788000,225.2,292.57,341.014,"","",4599212000
787900,225.22,292.57,341.012,"","",4599212100
787800,225.17,292.57,341.012,"","",4599212200
787700,225.12,292.56,341.012,"","",4599212300
787600,225.07,292.56,341.012,"","",4599212400
787500,225.03,292.56,341.012,"","",4599212500
787400,224.98,292.56,341.011,"","",4599212600
787300,224.93,292.55,341.011,"","",4599212700
787200,224.88,292.55,341.011,"","",4599212800
787100,224.83,292.55,341.011,"","",4599212900
787000,224.78,292.55,341.011,"","",4599213000
786900,224.74,292.54,341.011,"","",4599213100
786800,224.62,292.54,341.007,"","",4599213200
786700,224.5,292.53,341.004,"","",4599213300
786600,224.38,292.52,341,"","",4599213400
786500,224.26,292.51,340.997,"","",4599213500
786400,224.14,292.5,340.993,"","",4599213600
786300,224.02,292.49,340.99,"","",4599213700
786200,223.9,292.48,340.987,"","",4599213800
786100,223.78,292.48,340.983,"","",4599213900
786000,223.66,292.47,340.98,"","",4599214000
785900,223.54,292.46,340.976,"","",4599214100
785800,223.38,292.45,340.976,"","",4599214200
785700,223.22,292.44,340.977,"","",4599214300
785600,223.06,292.44,340.977,"","",4599214400
785500,222.9,292.43,340.978,"","",4599214500
785400,222.74,292.42,340.978,"","",4599214600
785300,222.58,292.41,340.978,"","",4599214700
785200,222.41,292.41,340.979,"","",4599214800
785100,222.25,292.4,340.979,"","",4599214900
785000,222.09,292.39,340.979,"","",4599215000
784900,221.93,292.38,340.98,"","",4599215100
784800,221.73,292.37,340.98,"","",4599215200
784700,221.53,292.36,340.981,"","",4599215300
784600,221.33,292.35,340.981,"","",4599215400
784500,221.13,292.35,340.982,"","",4599215500
784400,220.93,292.34,340.982,"","",4599215600
784300,220.73,292.33,340.982,"","",4599215700
784200,220.53,292.32,340.983,"","",4599215800
784100,220.33,292.31,340.983,"","",4599215900
784000,220.13,292.3,340.984,"","",4599216000
783900,219.93,292.29,340.984,"","",4599216100
783800,219.71,292.28,340.984,"","",4599216200
783700,219.49,292.27,340.984,"","",4599216300
783600,219.27,292.25,340.984,"","",4599216400
783500,219.04,292.24,340.984,"","",4599216500
783400,218.82,292.23,340.985,"","",4599216600
783300,218.6,292.22,340.985,"","",4599216700
783200,218.38,292.21,340.985,"","",4599216800
783100,218.16,292.2,340.985,"","",4599216900
783000,217.94,292.19,340.985,"","",4599217000
