"event","reference","startYearsElapsed","endYearsElapsed","startYear","startEra","endYear","endEra","notes","period","startYearsAgo","endYearsAgo"
"4.2 kiloyear event dry, lasted most of the 22nd century BC, linked to the end of the Old Kingdom in Egypt, and the Akkadian Empire in Mesopotamia, various archaeological cultures in Persia and China","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600000181,4600000180,2201,"BCE",2200,"BCE","","Holocene",NA,NA
"5.9 kiloyear event dry and cold.","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600001881,4600001880,3901,"BCE",3900,"BCE","","Holocene",NA,NA
"8.2 kiloyear event cold","Kobashi, Takuro, et al. ""Precise timing and characterization of abrupt climate change 8200 years ago from air trapped in polar ice."" Quaternary Science Reviews 26.9-10 (2007): 1212-1222. https://www.sciencedirect.com/science/article/pii/S0277379106002393 and https://www.sciencedirect.com/science/article/abs/pii/S0277379107000455",4600004230,4600004130,6250,"BCE",6150,"BCE","See also Bond Events","Holocene",NA,NA
"Abbassia Pluvial wet in North Africa","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599880000,4599910000,NA,NA,NA,NA,NA,NA,120000,90000
"Allerød oscillation warm & moist (B-S)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600009980,4600008980,12000,"BCE",11000,"BCE","","Pleistocene",NA,NA
"Andean-Saharan glaciation","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4149999999,4.15e+09,NA,NA,NA,NA,NA,NA,450000001,4.5e+08
"Antarctic Cold Reversal warmer Antarctic, sea levels rise","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600010681,4600010680,12701,"BCE",12700,"BCE","","Pleistocene",NA,NA
"Azolla event may have ended a long warm period","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4550999999,4.551e+09,NA,NA,NA,NA,NA,NA,49000001,4.9e+07
"Bølling oscillation warm and wet in the North Atlantic, begins the Bølling-Allerød period (B-S)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600010381,4600010380,12401,"BCE",12400,"BCE","","Pleistocene",NA,NA
"Boreal (B-S), rising sea levels, forest replaces tundra in northern Europe","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600006480,4600004880,8500,"BCE",6900,"BCE","","Holocene",NA,NA
"Cambrian–Ordovician extinction event","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4114599999,4114600000,NA,NA,NA,NA,NA,NA,485400001,485400000
"cooler climate causes Carboniferous Rainforest Collapse","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4294999999,4.295e+09,NA,NA,NA,NA,NA,NA,305000001,3.05e+08
"Cretaceous–Paleogene boundary and Cretaceous–Paleogene extinction event, extinction of dinosaurs","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4533999999,4.534e+09,NA,NA,NA,NA,NA,NA,66000001,6.6e+07
"Dalton Minimum low sunspot activity, cold","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999770,4599999810,1790,"CE",1830,"CE","","Holocene",NA,NA
"Dresbachian extinction event","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4097999999,4.098e+09,NA,NA,NA,NA,NA,NA,502000001,5.02e+08
"End-Botomian mass extinction; like the next two, little understood","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4082999999,4.083e+09,NA,NA,NA,NA,NA,NA,517000001,5.17e+08
"End of the African humid period, Neolithic Subpluvial in North Africa, expands Sahara Desert","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600001481,4600001480,3501,"BCE",3500,"BCE","","Holocene",NA,NA
"Eocene Thermal Maximum 2","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4546299999,4546300000,NA,NA,NA,NA,NA,NA,53700001,53700000
"Faint young Sun paradox","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",0,3.6e+09,NA,NA,NA,NA,NA,NA,4.6e+09,1e+09
"Great Famine of 1315–17 in Europe","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999295,4599999297,1315,"CE",1317,"CE","","Holocene",NA,NA
"Great Oxygenation Event probably leads to Huronian glaciation perhaps covering the whole globe","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",2199999999,2.2e+09,NA,NA,NA,NA,NA,NA,2400000001,2.4e+09
"Holocene climatic optimum, or Atlantic in northern Europe","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600004980,4600000980,7000,"BCE",3000,"BCE","","Holocene",NA,NA
"Holocene glacial retreat, the present Holocene or Postglacial period begins","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600007980,4600007981,10000,"BCE",10001,"BCE","","Holocene",NA,NA
"Huelmo/Mascardi Cold Reversal cold in Southern Hemisphere","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600009380,4600007480,11400,"BCE",9500,"BCE","","Pleistocene",NA,NA
"Iron Age Cold Epoch cold in North Atlantic. Perhaps associated with the Homeric Minimum","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599998880,4599998280,900,"BCE",300,"BCE","","Holocene",NA,NA
"Karoo Ice Age","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4.24e+09,4.34e+09,NA,NA,NA,NA,NA,NA,3.6e+08,2.6e+08
"Last Glacial Maximum, what is often meant in popular usage by ""Last Ice Age""","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599973500,4599981000,NA,NA,NA,NA,NA,NA,26500,19000
"Last glacial period, not to be confused with the Last Glacial Maximum or Late Glacial Maximum below","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599890000,4599990000,NA,NA,NA,NA,NA,NA,110000,10000
"Late Glacial Maximum, or Tardiglacial (definitions vary)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600008980,4600005980,11000,"BCE",8000,"BCE","","Pleistocene",NA,NA
"Later Neoproterozoic Snowball Earth or Marinoan glaciation, precursor to the Cambrian Explosion","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",3.95e+09,4e+09,NA,NA,NA,NA,NA,NA,6.5e+08,6e+08
"Little ice age","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999280,4599999830,1300,"CE",1850,"CE","","Holocene",NA,NA
"Maunder Minimum low sunspot activity","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999636,4599999695,1656,"CE",1715,"CE","","Holocene",NA,NA
"Medieval warm period, wet in Europe, arid in North America, may have depopulated the Great Plains of North America, associated with the Medieval renaissances in Europe","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599998880,4599999280,900,"CE",1300,"CE","","Holocene",NA,NA
"Middle Bronze Age Cold Epoch, a period of unusually cold climate in the North Atlantic region","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999780,4599999480,1800,"BCE",1500,"BCE","","Holocene",NA,NA
"Mousterian Pluvial wet in North Africa","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599950000,4599970000,NA,NA,NA,NA,NA,NA,50000,30000
"Neolithic Subpluvial/African humid period in North Africa, wet","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600005480,4600001880,7500,"BCE",3900,"BCE","","Holocene",NA,NA
"Neopluvial in North America","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600000980,4599997980,3000,"BCE",0,"CE","","Holocene",NA,NA
"Older Dryas cold, interrupts warm period for some centuries (B-S)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600010380,4600009480,12400,"BCE",11500,"BCE","","Pleistocene",NA,NA
"Older Peron warm and wet, global sea levels were 2.5 to 4 meters (8 to 13 feet) higher than the twentieth-century average","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600002980,4600002080,5000,"BCE",4100,"BCE","","Holocene",NA,NA
"Oldest Dryas cold, begins slowly and ends sharply (B-S)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600013980,4600010980,16000,"BCE",13000,"BCE","","Pleistocene",NA,NA
"Ordovician–Silurian extinction event, in two bursts, after cooling perhaps caused by tectonic plate movement","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4.15e+09,4.16e+09,NA,NA,NA,NA,NA,NA,4.5e+08,4.4e+08
"Paleocene-Eocene Thermal Maximum","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4544199999,4544200000,NA,NA,NA,NA,NA,NA,55800001,55800000
"perhaps 30,000 years of volcanic activity form the Deccan Traps in India, Or a large meteor impact.","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4533999999,4.534e+09,NA,NA,NA,NA,NA,NA,66000001,6.6e+07
"Permian-Triassic extinction event","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4348097999,4348098000,NA,NA,NA,NA,NA,NA,251902001,251902000
"Piora Oscillation, cold, perhaps not global. Wetter in Europe, drier elsewhere, linked to the domestication of the horse in Central Asia.","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600001180,4600000880,3200,"BCE",2900,"BCE","","Holocene",NA,NA
"Pliocene climate became cooler and drier, and seasonal, similar to modern climates.","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4594700000,4597400000,NA,NA,NA,NA,NA,NA,5300000,2600000
"Pre-Boreal sharp rise in temperature over 50 years (B-S), precedes Boreal","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600007380,4600007330,9400,"BCE",9350,"BCE","","Holocene",NA,NA
"Quaternary glaciation, with permanent ice on the polar regions, many named stages in different parts of the world","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4597500000,4.6e+09,NA,NA,NA,NA,NA,NA,2500000,0
"Retreat of glaciers since 1850, instrumental temperature record","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999830,4.6e+09,1850,"CE",2020,"CE","","Holocene",NA,NA
"Roman Warm Period","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599998230,4599998380,250,"BCE",400,"CE","","Holocene",NA,NA
"Siberian high","",4599999180,4599998580,1200,"BCE",600,"BCE","","Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",NA,NA
"Siberian high","",4599999280,4599999680,1300,"BCE",1700,"CE","","Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",NA,NA
"Siberian high","",4600001980,4600000980,4000,"BCE",3000,"BCE","","Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",NA,NA
"Siberian high","",4600004880,4600003980,6900,"BCE",6000,"BCE","","Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",NA,NA
"Spörer Minimum cold","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999440,4599999530,1460,"CE",1550,"CE","","Holocene",NA,NA
"sudden cooling and failure of harvests, perhaps caused by volcanic dust","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599998515,4599998516,535,"CE",536,"CE","","Holocene",NA,NA
"Triassic–Jurassic extinction event, causes as yet unclear","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4400399999,4400400000,NA,NA,NA,NA,NA,NA,199600001,199600000
"Year Without a Summer, caused by volcanic dust","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4599999796,4599999797,1816,"CE",1817,"CE","","Holocene",NA,NA
"Younger Dryas sudden cold and dry period in Northern Hemisphere (B-S)","https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history",4600008780,4600007480,10800,"BCE",9500,"BCE","","Pleistocene",NA,NA
