"Name","Age_Ma","Diameter_km","Location","Reference","yearsElapsed"
"Carancas",7e-06,0.0135,"Peru","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599999993
"Sikhote Alin",6.7e-05,0.027,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599999933
"Wabar",0.00014,0.116,"Saudi Arabia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599999860
"Haviland",0.001,0.015,"Kansas, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599999000
"Sobolev",0.001,0.053,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599999000
"Whitecourt",0.0011,0.036,"Alberta, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599998900
"Campo Del Cielo",0.004,0.05,"Argentina","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599996000
"Kaalijarv",0.004,0.11,"Estonia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599996000
"Henbury",0.0042,0.157,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599995800
"Boxhole",0.0054,0.17,"Libya","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599994600
"Ilumetsa",0.0066,0.08,"Estonia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599993400
"Macha",0.007,0.3,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599993000
"Morasko",0.01,0.1,"Poland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599990000
"Tenoumer",0.0214,1.9,"Mauritania","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599978600
"Barringer",0.049,1.19,"Montana, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599951000
"Xiuyan",0.05,1.8,"China","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599950000
"Lonar",0.052,1.83,"India","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599948000
"Odessa",0.0635,0.168,"Texas, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599936500
"Amguid",0.1,0.45,"Algeria","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599900000
"Rio Cuarto",0.1,4.5,"Argentina","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599900000
"Tswaing",0.22,1.13,"South Africa","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599780000
"Kalkkop",0.25,0.64,"South Africa","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599750000
"Dalgaranga",0.27,0.024,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599730000
"Wolfe Creek",0.3,0.875,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599700000
"Zhamanshin",0.9,14,"Kazakhstan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4599100000
"Monturaqui",1,0.46,"Chile","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.599e+09
"Veevers",1,0.08,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.599e+09
"Bosumtwi",1.07,10.5,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4598930000
"New Quebec",1.4,3.44,"North Dakota, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4598600000
"Aouelloul",3,0.39,"Mauritania","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.597e+09
"Talemzane",3,1.75,"Algeria","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.597e+09
"El'gygytgyn",3.5,18,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4596500000
"Roter Kamm",3.7,2.5,"Namibia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4596300000
"Bigach",5,8,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.595e+09
"Colonia",5,3.6,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.595e+09
