"X","monarchTitle","eventDescription","reignStartYear","reignStartMonth","reignStartDay","reignEndYear","reignEndMonth","reignEndDay","country","house","birthYear","birthMonth","birthDay","deathYear","deathMonth","deathDay","reference","era","houseColours","start_ymd","end_ymd","startElapsedYears","endElapsedYears"
1,"Alfred the Great","",886,1,1,899,10,26,"England","Wessex",NA,NA,NA,899,10,26,"https://en.wikipedia.org/wiki/Alfred_the_Great","CE","blue",886,899.816438356164,4599998866,4599998879.81644
2,"Edward the Elder","",899,10,26,924,7,17,"England","Wessex",874,NA,NA,924,7,17,"https://en.wikipedia.org/wiki/Edward_the_Elder","CE","blue",899.816438356164,924.540983606557,4599998879.81644,4599998904.54098
3,"Aelfweard","",924,7,17,924,8,2,"England","Wessex",901,NA,NA,924,8,2,"https://en.wikipedia.org/wiki/%C3%86lfweard_of_Wessex","CE","blue",924.540983606557,924.584699453552,4599998904.54098,4599998904.5847
4,"Aethelstan","",924,8,2,939,10,27,"England","Wessex",894,NA,NA,939,10,27,"https://en.wikipedia.org/wiki/%C3%86thelstan","CE","blue",924.584699453552,939.819178082192,4599998904.5847,4599998919.81918
5,"Edmund I","",939,10,27,946,5,26,"England","Wessex",921,NA,NA,946,5,26,"https://en.wikipedia.org/wiki/Edmund_I","CE","blue",939.819178082192,946.397260273973,4599998919.81918,4599998926.39726
6,"Eadred","",946,5,26,955,11,23,"England","Wessex",923,NA,NA,955,11,23,"https://en.wikipedia.org/wiki/Eadred","CE","blue",946.397260273973,955.893150684931,4599998926.39726,4599998935.89315
7,"Eadwig","",955,11,23,959,10,1,"England","Wessex",940,NA,NA,959,10,1,"https://en.wikipedia.org/wiki/Eadwig","CE","blue",955.893150684931,959.747945205479,4599998935.89315,4599998939.74794
8,"Edgar the Peaceful","",959,10,1,975,7,8,"England","Wessex",943,NA,NA,975,7,8,"https://en.wikipedia.org/wiki/Edgar_the_Peaceful","CE","blue",959.747945205479,975.515068493151,4599998939.74794,4599998955.51507
9,"Edward the Martyr","",975,7,8,978,3,18,"England","Wessex",962,NA,NA,978,3,18,"https://en.wikipedia.org/wiki/Edward_the_Martyr","CE","blue",975.515068493151,978.208219178082,4599998955.51507,4599998958.20822
10,"Aethelred","Aethelred the Unready, 1st reign",978,3,18,1013,12,24,"England","Wessex",968,NA,NA,1016,4,23,"https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready","CE","blue",978.208219178082,1013.97808219178,4599998958.20822,4599998993.97808
11,"Sweyn","Sweyn Forkbeard",1013,12,25,1014,2,2,"England","Denmark",960,NA,NA,1014,2,3,"https://en.wikipedia.org/wiki/Sweyn_Forkbeard","CE","red",1013.98082191781,1014.08767123288,4599998993.98082,4599998994.08767
12,"Aethelred","Aethelred the Unready, 2nd reign",1014,2,3,1016,4,23,"England","Wessex",968,NA,NA,1016,4,23,"https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready","CE","blue",1014.0904109589,1016.3087431694,4599998994.09041,4599998996.30874
13,"Edmund Ironside","",1016,4,23,1016,11,30,"England","Wessex",990,NA,NA,1016,11,30,"https://en.wikipedia.org/wiki/Edmund_Ironside","CE","blue",1016.3087431694,1016.91256830601,4599998996.30874,4599998996.91257
