"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
0,276.01,175.57,230.66,306.39,342.75,0,4.6e+09
0.5,275.73,196.68,239.86,311.4,346.5,5e+05,4599500000
1,287.21,209.77,250.86,311.94,339.55,1e+06,4.599e+09
1.5,290.03,221.13,259.7,312.23,334.89,1500000,4598500000
2,295.99,231,265.29,314.39,336.49,2e+06,4.598e+09
2.5,298.02,238.67,267.89,317.59,341.08,2500000,4597500000
3,299.35,243.23,269.25,322.59,343.98,3e+06,4.597e+09
3.5,302.99,242.17,269.93,329.05,351.1,3500000,4596500000
4,298.33,240.52,269.4,334.42,359.48,4e+06,4.596e+09
4.5,300,238.24,268.39,339.29,366.87,4500000,4595500000
5,302.58,236.17,267.35,344.64,374.11,5e+06,4.595e+09
5.5,316.98,234.96,265.92,349.27,382.47,5500000,4594500000
6,319.11,230.51,264.79,352.16,389.22,6e+06,4.594e+09
6.5,320.22,229.42,264.48,356.24,392.79,6500000,4593500000
7,321.3,229.85,262.78,358.05,398.45,7e+06,4.593e+09
7.5,323.48,225.39,259.13,360.2,402.46,7500000,4592500000
8,307.94,222.63,256.58,361.04,403.73,8e+06,4.592e+09
8.5,307.34,218.28,252.87,360.7,407.34,8500000,4591500000
9,305.75,213.85,250.52,360.32,408.87,9e+06,4.591e+09
9.5,303.88,211.49,247.61,359.37,409.15,9500000,4590500000
10,301.66,210.36,246.87,359.98,408.27,1e+07,4.59e+09
10.5,299.4,210.07,247.5,359.55,408.82,10500000,4589500000
11,302.28,213.12,248.12,358.64,406.04,1.1e+07,4.589e+09
11.5,304.17,216.76,250.18,357.74,405.96,11500000,4588500000
12,302.62,218.66,253.19,359.47,403.92,1.2e+07,4.588e+09
12.5,301.76,218.92,254.92,359.25,402.91,12500000,4587500000
13,302.03,220.25,259.38,358.25,407.52,1.3e+07,4.587e+09
13.5,302.88,224.08,262.02,359.12,410.74,13500000,4586500000
14,306.53,229.68,265.13,357.06,407.54,1.4e+07,4.586e+09
14.5,306.58,234.08,269.04,355.88,409.54,14500000,4585500000
15,311.09,237.06,269.7,357,414.47,1.5e+07,4.585e+09
15.5,308.28,229.11,267.68,358.3,421.87,15500000,4584500000
16,309.27,224.53,266.08,363.11,430.22,1.6e+07,4.584e+09
16.5,311.35,219.77,265,368.76,438.44,16500000,4583500000
17,314.57,220.26,265.1,374.53,444.82,1.7e+07,4.583e+09
17.5,317.72,220.05,266.66,380.59,452.06,17500000,4582500000
18,318.43,220.17,266.01,388.6,459.7,1.8e+07,4.582e+09
18.5,322.31,217.01,266.03,397.34,468.46,18500000,4581500000
19,329.95,214.4,269.86,404.83,478.57,1.9e+07,4.581e+09
19.5,338.28,213.94,274.43,414.46,490.45,19500000,4580500000
20,347.04,217.49,279.95,422.64,498.66,2e+07,4.58e+09
20.5,353,228.16,288.7,429.83,506.49,20500000,4579500000
21,357.73,237.63,298.33,437.29,510.98,2.1e+07,4.579e+09
21.5,353.38,247.15,310.51,446.34,518.59,21500000,4578500000
22,364.28,260.4,321.86,454.7,529.1,2.2e+07,4.578e+09
22.5,386.96,272.8,331.98,462.18,540.29,22500000,4577500000
23,405.42,286.02,344.99,474.38,549.11,2.3e+07,4.577e+09
23.5,422.13,303.47,361.25,488.4,559.12,23500000,4576500000
24,442.57,328.51,385,506.86,570.33,2.4e+07,4.576e+09
24.5,467.05,358.6,408.08,528.43,591.31,24500000,4575500000
25,489.12,387.9,435.42,548.6,607.34,2.5e+07,4.575e+09
25.5,497.88,415.22,461.14,569.3,630.57,25500000,4574500000
26,518.95,436.68,479.12,591.03,643.63,2.6e+07,4.574e+09
26.5,542.7,457.56,500.63,611.45,656.62,26500000,4573500000
27,571.25,481.54,522.39,627.99,674.91,2.7e+07,4.573e+09
27.5,595.24,500.2,542.72,646.24,688.06,27500000,4572500000
28,611.44,519.91,563.8,665.03,700.91,2.8e+07,4.572e+09
28.5,631.02,544.71,585.59,685.24,721.15,28500000,4571500000
29,648.54,565.33,604.81,704.78,743.45,2.9e+07,4.571e+09
29.5,673.59,582.29,627.39,725.07,765.13,29500000,4570500000
30,693.51,603.98,653.53,747.99,788.62,3e+07,4.57e+09
30.5,740.87,618.98,681.94,776.34,811.7,30500000,4569500000
31,763.85,648.94,715.15,808.26,843.21,3.1e+07,4.569e+09
31.5,803.95,674.06,744.9,843.08,878.38,31500000,4568500000
32,836.26,683.51,771.3,875.06,910.54,3.2e+07,4.568e+09
32.5,857.9,697.98,791.05,901.1,941.29,32500000,4567500000
33,867.91,710.92,805.54,921.48,961.92,3.3e+07,4.567e+09
33.5,881.5,715.27,818.84,933.16,978.54,33500000,4566500000
34,896.72,719.93,826.75,946.87,994.34,3.4e+07,4.566e+09
34.5,893.53,723.34,829.23,959.32,1007.08,34500000,4565500000
35,904.18,720.35,830.1,970.63,1022.24,3.5e+07,4.565e+09
35.5,904.32,717.23,823.25,978.77,1033.95,35500000,4564500000
36,900.7,713.73,818.2,982.33,1041.37,3.6e+07,4.564e+09
36.5,894.77,711.53,816.78,979.18,1041.52,36500000,4563500000
37,894.98,702.62,806.28,968.87,1036.56,3.7e+07,4.563e+09
