"years_before_present","temp_anomaly_C","reference","yearsElapsed"
798000,-3.03,"https://www.co2levels.org/#sources",4599202000
795000,-4.42,"",4599205000
792000,-2.08,"",4599208000
789000,-1.78,"",4599211000
786000,-1.01,"",4599214000
783000,-0.07,"",4599217000
780000,0.47,"",4599220000
777000,-0.76,"",4599223000
774000,-1.4,"",4599226000
771000,-1.29,"",4599229000
768000,-1.54,"",4599232000
765000,-0.93,"",4599235000
762000,-1.94,"",4599238000
759000,-3.25,"",4599241000
756000,-3.31,"",4599244000
753000,-1.92,"",4599247000
750000,-1.72,"",4599250000
747000,-1.83,"",4599253000
744000,-0.55,"",4599256000
741000,-1.09,"",4599259000
738000,-0.48,"",4599262000
735000,0.24,"",4599265000
732000,-1.64,"",4599268000
729000,-1.31,"",4599271000
726000,-1.44,"",4599274000
723000,-2.6,"",4599277000
720000,-1.99,"",4599280000
717000,-1.99,"",4599283000
714000,-2.31,"",4599286000
711000,-1.93,"",4599289000
708000,0.11,"",4599292000
705000,0.89,"",4599295000
702000,1.55,"",4599298000
699000,1.92,"",4599301000
696000,0.93,"",4599304000
693000,1.07,"",4599307000
690000,0,"",4599310000
687000,-1.63,"",4599313000
684000,-0.16,"",4599316000
681000,-1.54,"",4599319000
678000,-3.04,"",4599322000
675000,-2.1,"",4599325000
672000,-2.06,"",4599328000
669000,-3.23,"",4599331000
666000,-2.04,"",4599334000
663000,-2.18,"",4599337000
660000,-3.05,"",4599340000
657000,-2.86,"",4599343000
654000,-3.18,"",4599346000
651000,-3,"",4599349000
648000,-3.28,"",4599352000
645000,-3.17,"",4599355000
642000,-2.91,"",4599358000
639000,-2.92,"",4599361000
636000,-2.53,"",4599364000
633000,-3.04,"",4599367000
630000,-2.79,"",4599370000
627000,-0.81,"",4599373000
624000,-0.42,"",4599376000
621000,0.85,"",4599379000
618000,1.47,"",4599382000
615000,1.79,"",4599385000
612000,1.53,"",4599388000
609000,0.37,"",4599391000
606000,0.29,"",4599394000
603000,0.48,"",4599397000
600000,-0.51,"",4599400000
597000,-0.48,"",4599403000
594000,0.66,"",4599406000
591000,-0.12,"",4599409000
588000,-0.26,"",4599412000
585000,-0.68,"",4599415000
582000,-0.72,"",4599418000
579000,0.27,"",4599421000
576000,0.85,"",4599424000
573000,0.03,"",4599427000
570000,-0.93,"",4599430000
567000,-1.58,"",4599433000
564000,-2.43,"",4599436000
561000,-2.23,"",4599439000
558000,-2.13,"",4599442000
555000,-1.37,"",4599445000
552000,-3.78,"",4599448000
549000,-3.1,"",4599451000
546000,-3.08,"",4599454000
543000,-2.88,"",4599457000
540000,-3.48,"",4599460000
537000,-2.25,"",4599463000
534000,-3.28,"",4599466000
531000,-0.6,"",4599469000
528000,0.06,"",4599472000
525000,-0.16,"",4599475000
522000,-0.27,"",4599478000
519000,-0.37,"",4599481000
516000,-0.54,"",4599484000
513000,0,"",4599487000
510000,-0.58,"",4599490000
507000,0.4,"",4599493000
504000,0.02,"",4599496000
501000,0.41,"",4599499000
498000,-0.02,"",4599502000
495000,0.44,"",4599505000
492000,-0.24,"",4599508000
489000,-0.75,"",4599511000
486000,-2.38,"",4599514000
483000,-1.91,"",4599517000
480000,-3.32,"",4599520000
477000,-3.15,"",4599523000
474000,-4.81,"",4599526000
471000,-4.36,"",4599529000
468000,-4.86,"",4599532000
465000,-4.19,"",4599535000
462000,-4.32,"",4599538000
459000,-4.58,"",4599541000
456000,-3.23,"",4599544000
453000,-2.67,"",4599547000
450000,-3.17,"",4599550000
447000,-2.73,"",4599553000
444000,-3.03,"",4599556000
441000,-3.89,"",4599559000
438000,-4.65,"",4599562000
435000,-4.1,"",4599565000
432000,-2.98,"",4599568000
429000,-1.66,"",4599571000
426000,-0.58,"",4599574000
423000,-0.17,"",4599577000
420000,0.8,"",4599580000
417000,0.84,"",4599583000
414000,1.5,"",4599586000
411000,1.27,"",4599589000
408000,1.66,"",4599592000
405000,1.23,"",4599595000
402000,0.25,"",4599598000
399000,-0.44,"",4599601000
396000,-0.94,"",4599604000
393000,-2.61,"",4599607000
390000,-2.55,"",4599610000
387000,-2.92,"",4599613000
384000,-2.74,"",4599616000
381000,-3.4,"",4599619000
378000,-2.94,"",4599622000
375000,-4.27,"",4599625000
372000,-4.96,"",4599628000
369000,-4.19,"",4599631000
366000,-3.96,"",4599634000
363000,-4.03,"",4599637000
360000,-3.81,"",4599640000
357000,-3.93,"",4599643000
354000,-3.54,"",4599646000
351000,-3.65,"",4599649000
348000,-3.12,"",4599652000
345000,-2.89,"",4599655000
342000,-2.85,"",4599658000
339000,-2.9,"",4599661000
336000,-0.12,"",4599664000
333000,1,"",4599667000
330000,1.64,"",4599670000
327000,0.95,"",4599673000
324000,0.74,"",4599676000
321000,0.11,"",4599679000
318000,-0.71,"",4599682000
315000,-0.72,"",4599685000
312000,-0.54,"",4599688000
309000,-0.68,"",4599691000
306000,-1.41,"",4599694000
303000,-1.45,"",4599697000
300000,-1.84,"",4599700000
297000,-1.77,"",4599703000
294000,-2.42,"",4599706000
291000,-1.57,"",4599709000
288000,-0.96,"",4599712000
285000,-1.09,"",4599715000
282000,-1.99,"",4599718000
279000,-2.28,"",4599721000
276000,-2.99,"",4599724000
273000,-3.35,"",4599727000
270000,-3.54,"",4599730000
267000,-3.47,"",4599733000
264000,-3.37,"",4599736000
261000,-2.79,"",4599739000
258000,-2.73,"",4599742000
255000,-2.63,"",4599745000
252000,-2.53,"",4599748000
249000,-1.49,"",4599751000
246000,-0.81,"",4599754000
243000,0.43,"",4599757000
240000,1.37,"",4599760000
237000,0.08,"",4599763000
234000,-0.63,"",4599766000
231000,-1.18,"",4599769000
228000,-1.35,"",4599772000
225000,-1.35,"",4599775000
222000,-0.8,"",4599778000
219000,-0.06,"",4599781000
216000,0.9,"",4599784000
213000,0.29,"",4599787000
210000,0.23,"",4599790000
207000,-0.51,"",4599793000
204000,-0.37,"",4599796000
201000,-0.45,"",4599799000
198000,-0.87,"",4599802000
195000,-1.2,"",4599805000
192000,-1.71,"",4599808000
189000,-2.37,"",4599811000
186000,-2.42,"",4599814000
183000,-2.17,"",4599817000
180000,-2.45,"",4599820000
177000,-2.33,"",4599823000
174000,-2.51,"",4599826000
171000,-2.31,"",4599829000
168000,-2.57,"",4599832000
165000,-3.07,"",4599835000
162000,-2.65,"",4599838000
159000,-2.78,"",4599841000
156000,-2.88,"",4599844000
153000,-2.27,"",4599847000
150000,-2.54,"",4599850000
147000,-2.41,"",4599853000
144000,-2.52,"",4599856000
141000,-2.72,"",4599859000
138000,-2.46,"",4599862000
135000,-1.09,"",4599865000
132000,0.35,"",4599868000
129000,1.7,"",4599871000
126000,2.54,"",4599874000
123000,2.68,"",4599877000
120000,1.81,"",4599880000
117000,0.78,"",4599883000
114000,-0.25,"",4599886000
111000,-1.04,"",4599889000
108000,-0.72,"",4599892000
105000,-0.28,"",4599895000
102000,-0.21,"",4599898000
99000,-0.43,"",4599901000
96000,-0.46,"",4599904000
93000,-1.18,"",4599907000
90000,-1.4,"",4599910000
87000,-1.47,"",4599913000
84000,-0.8,"",4599916000
81000,-0.77,"",4599919000
78000,-1.43,"",4599922000
75000,-2.15,"",4599925000
72000,-2.55,"",4599928000
69000,-3.25,"",4599931000
66000,-3.4,"",4599934000
63000,-3.48,"",4599937000
60000,-2.56,"",4599940000
57000,-2.36,"",4599943000
54000,-2.89,"",4599946000
51000,-2.71,"",4599949000
48000,-3.27,"",4599952000
45000,-3.66,"",4599955000
42000,-3.62,"",4599958000
39000,-3.27,"",4599961000
36000,-3.45,"",4599964000
33000,-3.81,"",4599967000
30000,-3.79,"",4599970000
27000,-3.76,"",4599973000
24000,-3.68,"",4599976000
22119,-4.15,"",4599977881
22019,-4.17,"",4599977981
21919,-4.18,"",4599978081
21819,-4.19,"",4599978181
