"Volcano","Age_Mya","Location","Volume_km3","Notes","Type","Reference","yearsAgo","yearsElapsed"
"Taupo Volcano-Oruanui eruption",0.027,"Taupo Volcanic Zone, New Zealand",1170,"Most recent VEI 8 eruption","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",27000,4599973000
"Lake Toba-Youngest Toba Tuff",0.073,"Sunda Arc, Indonesia",2800,"Largest known eruption on earth in at least the last million years, possibly responsible for a population bottleneck of the human species (see Toba catastrophe theory)","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",73000,4599927000
"Whakamaru",0.254,"Taupo Volcanic Zone, New Zealand",2000,"Largest in the Southern Hemisphere in the Late Quaternary","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",254000,4599746000
"Yellowstone Caldera-Lava Creek Tuff",0.639,"Yellowstone hotspot",1000,"Last large eruption in the Yellowstone National Park area","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",639000,4599361000
"Mangakino Caldera-Rocky Hill",1,"Taupo Volcanic Zone, New Zealand",1495,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1e+06,4.599e+09
"Mangakino Caldera-Kidnappers ignimbrite",1.01,"Taupo Volcanic Zone, New Zealand",2760,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1010000,4598990000
"Awasa Caldera",1.09,"Main Ethiopian Rift",1000,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1090000,4598910000
"Mangakino Caldera-Ongatiti - Mangatewaiiti",1.21,"Taupo Volcanic Zone, New Zealand",1150,"","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1210000,4598790000
"Yellowstone Caldera-Huckleberry Ridge Tuff",2.059,"Yellowstone hotspot",2450,"Largest Yellowstone eruption on record","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",2059000,4597941000
"Cerro Galan",2.2,"Catamarca Province, Argentina",1000,"Elliptical caldera is 35 km wide","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",2200000,4597800000
"Pacana Caldera-Atana ignimbrite",4,"Chile",2800,"Forms a resurgent caldera.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",4e+06,4.596e+09
"Kilgore tuff",4.3,"Near Kilgore, Idaho",1800,"Last of the eruptions from the Heise volcanic field","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",4300000,4595700000
"Blacktail tuff",6.5,"Blacktail, Idaho",1500,"First of several eruptions from the Heise volcanic field","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",6500000,4593500000
"Timber Mountain tuff",11.6,"Southwestern Nevada",1200,"Also includes a 900 cubic km tuff as a second member in the tuff","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",11600000,4588400000
"Paintbrush tuff (Tiva Canyon Member)",12.7,"Southwestern Nevada",1000,"Related to a 1200 cubic km tuff (Topopah Spring Member) as another member in the Paintbrush tuff","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",12700000,4587300000
"Paintbrush tuff (Tonopah Spring Member)",12.8,"Southwestern Nevada",1200,"Related to a 1000 cubic km tuff (Tiva Canyon Member) as another member in the Paintbrush tuff","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",12800000,4587200000
"Omine-Odai Caldera-Murou pyroclastic flow",13.7,"Honsh, Japan",1260,"A part of the large eruptions that occurred in southwest Japan to 13 to 15 Ma.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",13700000,4586300000
"Okueyama Caldera",13.7,"Kyushu, Japan",1030,"A part of the large eruptions that occurred in southwest Japan to 13 to 15 Ma.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",13700000,4586300000
"Rosalia flow",14.5,"Columbia River Basalt Group, United States",1900,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",14500000,4585500000
"Gran Canaria shield basalt eruption",14.5,"Gran Canaria, Spain",1000,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",14500000,4585500000
"Huaylillas Ignimbrite",15,"Bolivia",1100,"Predates half of the uplift of the central Andes","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.5e+07,4.585e+09
"Sand Hollow flow",15.3,"Columbia River Basalt Group, United States",2660,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15300000,4584700000
"Ginkgo Basalt",15.3,"Columbia River Basalt Group, United States",1600,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15300000,4584700000
"Wapshilla Ridge flows",15.5,"Columbia River Basalt Group, United States",7000,"Member comprises 8–10 flows with a total volume of 50,000 km3","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15500000,4584500000
"McCoy Canyon flow",15.6,"Columbia River Basalt Group, United States",4300,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15600000,4584400000
"Umtanum flows",15.6,"Columbia River Basalt Group, United States",2750,"Two flows with a total volume of 5500 km3","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15600000,4584400000
"Museum flow",15.6,"Columbia River Basalt Group, United States",2350,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15600000,4584400000
"California Creek-Airway Heights flow",15.6,"Columbia River Basalt Group, United States",1500,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15600000,4584400000
"Stember Creek flow",15.6,"Columbia River Basalt Group, United States",1200,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",15600000,4584400000
"Columbia River Basalt Group",16,"Pacific Northwest, United States",0.18,"Well exposed by Missoula Floods in the Channeled Scablands.","Large igneous provinces","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.6e+07,4.584e+09
"Pruitt Draw flow",16.5,"Columbia River Basalt Group, United States",2350,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",16500000,4583500000
"Joseph Creek flow",16.5,"Columbia River Basalt Group, United States",1850,"","Effusive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",16500000,4583500000
"Oxaya ignimbrites",19,"Chile",3000,"Really a regional correlation of many ignimbrites originally thought to be distinct","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",1.9e+07,4.581e+09
"La Garita Caldera-Fish Canyon Tuff",27.8,"San Juan volcanic field, Colorado",5000,"Part of at least 20 large caldera-forming eruptions in the San Juan volcanic field and surrounding area that formed around 26 to 35 Ma.","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",27800000,4572200000
"San Juan-Sapinero Mesa Tuff",28,"San Juan volcanic field",1000,"Part of at least 20 large caldera-forming eruptions in the San Juan volcanic field and surrounding area that formed around 26 to 35 Ma","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",2.8e+07,4.572e+09
"Bachelor-Carpenter Ridge tuff",28,"San Juan volcanic field",1200,"Part of at least 20 large caldera-forming eruptions in the San Juan volcanic field and surrounding area that formed around 26 to 35 Ma","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",2.8e+07,4.572e+09
"Uncompahgre-Dillon & Sapinero Mesa Tuffs",28.1,"San Juan volcanic field",1000,"Part of at least 20 large caldera-forming eruptions in the San Juan volcanic field and surrounding area that formed around 26 to 35 Ma","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",28100000,4571900000
"Platoro-Chiquito Peak tuff",28.2,"San Juan volcanic field",1000,"Part of at least 20 large caldera-forming eruptions in the San Juan volcanic field and surrounding area that formed around 26 to 35 Ma","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",28200000,4571800000
"Bursum-Bloodgood Canyon tuff",28.5,"Southern New Mexico",1050,"Related to a 1200 cubic km tuff, the Apache Springs tuff","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",28500000,4571500000
"Bursum-Apache Springs Tuff",28.5,"Southern New Mexico",1200,"Related to a 1050 cubic km tuff, the Bloodgood Canyon tuff","Explosive","https://en.wikipedia.org/wiki/List_of_largest_volcanic_eruptions",28500000,4571500000
