"Year","Era","WorldPopulation","YearlyChange","NetChange","Density_P_km2","UrbanPopulation","UrbanPopPercent","yearsElapsed"
2020,"CE",7794798739,0.0105,81330639,52,4378993944,0.56,4.6e+09
2019,"CE",7713468100,0.0108,82377060,52,4299438618,0.56,4599999999
2018,"CE",7631091040,0.011,83232115,51,4219817318,0.55,4599999998
2017,"CE",7547858925,0.0112,83836876,51,4140188594,0.55,4599999997
2016,"CE",7464022049,0.0114,84224910,50,4060652683,0.54,4599999996
2015,"CE",7379797139,0.0116,84506374,50,3981497663,0.54,4599999995
2014,"CE",7295290765,0.0117,84708789,49,3902831934,0.53,4599999994
2013,"CE",7210581976,0.0119,84753917,48,3824990329,0.53,4599999993
2012,"CE",7125828059,0.012,84633758,48,3747842586,0.53,4599999992
2011,"CE",7041194301,0.0121,84370698,47,3671423872,0.52,4599999991
2010,"CE",6956823603,0.0122,84056510,47,3594868146,0.52,4599999990
2009,"CE",6872767093,0.0123,83678407,46,3516830263,0.51,4599999989
2008,"CE",6789088686,0.0124,83142076,46,3439719128,0.51,4599999988
2007,"CE",6705946610,0.0124,82428777,45,3363609560,0.5,4599999987
2006,"CE",6623517833,0.0125,81610806,44,3289446226,0.5,4599999986
2005,"CE",6541907027,0.0125,80747638,44,3215905863,0.49,4599999985
2004,"CE",6461159389,0.0125,79974275,43,3143044892,0.49,4599999984
2003,"CE",6381185114,0.0126,79411926,43,3071743997,0.48,4599999983
2002,"CE",6301773188,0.0127,79146582,42,3001808223,0.48,4599999982
2001,"CE",6222626606,0.0129,79132783,42,2933078510,0.47,4599999981
2000,"CE",6143493823,0.0131,79254768,41,2868307513,0.47,4599999980
1999,"CE",6064239055,0.0133,79445113,41,2808231655,0.46,4599999979
1998,"CE",5984793942,0.0135,79748154,40,2749213598,0.46,4599999978
1997,"CE",5905045788,0.0138,80153837,40,2690813541,0.46,4599999977
1996,"CE",5824891951,0.014,80678972,39,2632941583,0.45,4599999976
1995,"CE",5744212979,0.0143,81062552,39,2575505235,0.45,4599999975
1994,"CE",5663150427,0.0146,81552881,38,2518254111,0.44,4599999974
1993,"CE",5581597546,0.015,82677737,37,2461223528,0.44,4599999973
1992,"CE",5498919809,0.0156,84630365,37,2404337297,0.44,4599999972
