years_before_present,CO2_ppm
798580,191
797167,188.4
796535,189.3
795270,195.2
794676,199.4
793328,209
793011,204
792149,205.1
791559,215.4
790606,221.3
790221,218.2
789449,226.3
788955,229.5
788101,247.9
787873,248.1
787144,256.9
786655,260.3
785857,255.4
785481,253.3
784760,250.7
784215,246.9
783331,252.1
782127,246.2
781603,248.7
780680,242.8
780336,248.5
779432,243.9
778866,245.8
777968,246.1
777624,246.3
776704,243.9
776105,238.8
775119,240.5
774616,236.9
773748,233.3
773111,230
772144,230.9
771776,229.5
771328,237.7
771062,235.6
770792,238.2
770515,235.6
770201,231.5
769855,226
769582,228.1
769118,221.4
768723,222.4
767805,217.7
767164,213.5
766178,215.7
765803,216.8
764901,222.6
764317,224.1
764002,221.4
763754,225.7
763387,215
762939,216
762132,212
761521,206.1
760568,206.9
760270,208.8
759374,214.9
758951,217.9
758543,217.6
758327,215.3
758030,219.2
757629,215
756939,210.7
756425,206
755563,201.9
755309,200.5
754462,195.8
754052,191.5
753046,196.5
752673,188
751898,190.1
751369,186.2
750544,184
750262,184.8
749469,182.9
748981,181.4
748169,180.4
747827,180.8
747178,180.8
746711,183.1
745904,180.2
744911,182
744422,181.2
743657,180.4
743301,181.7
742626,182.3
742143,177.9
741375,176.6
741089,178.6
740345,178.9
739910,185
739205,197.8
738912,200.3
738340,206.5
737957,210.6
737334,211.3
737102,208.1
736528,209.7
736147,204.1
735527,201.3
735235,201.7
734672,207.4
734291,205.3
733611,204.4
733329,203.9
732616,205.9
732209,203.8
731397,204.9
731017,204.1
730367,204
728989,205.4
728636,205.1
727800,205.5
727260,204.5
726390,208.1
726005,206.6
725127,206.3
724513,210.3
723532,213.2
723201,213.4
722107,211.3
721386,206.3
720405,195.2
719862,187.8
718847,184.3
718132,192.9
717133,205
716772,208.1
715818,222.1
715248,217.7
714356,221.7
713911,222.3
712901,218.5
711489,218.7
711172,218.9
710305,220.2
709748,219.7
706477,228.1
706209,228.6
705478,228.5
705041,233.9
704279,231.2
704002,231.2
703452,232.8
703056,232.4
702449,230.3
702226,229.3
701674,228.8
701310,228.2
700812,227.6
700457,228.7
699977,226
699701,227.6
699170,227.7
698948,226.4
698454,228
698188,231
697728,232.2
697399,232.4
697031,232.9
696785,235.4
696355,234.8
696130,234.6
695686,237.6
695451,236.7
695009,236.9
694740,235.8
694368,234.4
